X_Cu43Zr45.1Y3.15Al8.75_Pd_[¦Ìm]	Y_Cu43Zr45.1Y3.15Al8.75_Fn_[mN]	X_Cu43Zr45.1Y3.15Al8.75_Pd_[¦Ìm]	Y_Cu43Zr45.1Y3.15Al8.75_Fn_[mN]	X_Cu43Zr45.1Y3.15Al8.75_Pd_[¦Ìm]	Y_Cu43Zr45.1Y3.15Al8.75_Fn_[mN]	X_Cu43Zr45.1Y3.15Al8.75_Pd_[¦Ìm]	Y_Cu43Zr45.1Y3.15Al8.75_Fn_[mN]	X_Cu43Zr45.1Y3.15Al8.75_Pd_[¦Ìm]	Y_Cu43Zr45.1Y3.15Al8.75_Fn_[mN]	X_Cu43Zr45.1Y3.15Al8.75_Pd_[¦Ìm]	Y_Cu43Zr45.1Y3.15Al8.75_Fn_[mN]	X_Cu43Zr45.1Y3.15Al8.75_Pd_[¦Ìm]	Y_Cu43Zr45.1Y3.15Al8.75_Fn_[mN]	X_Cu43Zr45.1Y3.15Al8.75_Pd_[¦Ìm]	Y_Cu43Zr45.1Y3.15Al8.75_Fn_[mN]	X_Cu43Zr45.1Y3.15Al8.75_Pd_[¦Ìm]	Y_Cu43Zr45.1Y3.15Al8.75_Fn_[mN]	X_Cu43Zr45.1Y3.15Al8.75_Pd_[¦Ìm]	Y_Cu43Zr45.1Y3.15Al8.75_Fn_[mN]	X_Cu43Zr45.1Y3.15Al8.75_Pd_[¦Ìm]	Y_Cu43Zr45.1Y3.15Al8.75_Fn_[mN]	X_Cu43Zr45.1Y3.15Al8.75_Pd_[¦Ìm]	Y_Cu43Zr45.1Y3.15Al8.75_Fn_[mN]	X_Cu43Zr45.1Y3.15Al8.75_Pd_[¦Ìm]	Y_Cu43Zr45.1Y3.15Al8.75_Fn_[mN]	X_Cu43Zr45.1Y3.15Al8.75_Pd_[¦Ìm]	Y_Cu43Zr45.1Y3.15Al8.75_Fn_[mN]	X_Cu43Zr45.1Y3.15Al8.75_Pd_[¦Ìm]	Y_Cu43Zr45.1Y3.15Al8.75_Fn_[mN]	X_Cu43Zr45.1Y3.15Al8.75_Pd_[¦Ìm]	Y_Cu43Zr45.1Y3.15Al8.75_Fn_[mN]	X_Cu43Zr45.1Y3.15Al8.75_Pd_[¦Ìm]	Y_Cu43Zr45.1Y3.15Al8.75_Fn_[mN]	X_Cu43Zr45.1Y3.15Al8.75_Pd_[¦Ìm]	Y_Cu43Zr45.1Y3.15Al8.75_Fn_[mN]	X_Cu43Zr45.1Y3.15Al8.75_Pd_[¦Ìm]	Y_Cu43Zr45.1Y3.15Al8.75_Fn_[mN]	X_Cu43Zr45.1Y3.15Al8.75_Pd_[¦Ìm]	Y_Cu43Zr45.1Y3.15Al8.75_Fn_[mN]	X_Cu43Zr45.1Y3.15Al8.75_Pd_[¦Ìm]	Y_Cu43Zr45.1Y3.15Al8.75_Fn_[mN]	X_Cu43Zr45.1Y3.15Al8.75_Pd_[¦Ìm]	Y_Cu43Zr45.1Y3.15Al8.75_Fn_[mN]	X_Cu43Zr45.1Y3.15Al8.75_Pd_[¦Ìm]	Y_Cu43Zr45.1Y3.15Al8.75_Fn_[mN]	X_Cu43Zr45.1Y3.15Al8.75_Pd_[¦Ìm]	Y_Cu43Zr45.1Y3.15Al8.75_Fn_[mN]	X_Cu43Zr45.1Y3.15Al8.75_Pd_[¦Ìm]	Y_Cu43Zr45.1Y3.15Al8.75_Fn_[mN]	X_Cu43Zr45.1Y3.15Al8.75_Pd_[¦Ìm]	Y_Cu43Zr45.1Y3.15Al8.75_Fn_[mN]	X_Cu43Zr45.1Y3.15Al8.75_Pd_[¦Ìm]	Y_Cu43Zr45.1Y3.15Al8.75_Fn_[mN]	X_Cu43Zr45.1Y3.15Al8.75_Pd_[¦Ìm]	Y_Cu43Zr45.1Y3.15Al8.75_Fn_[mN]	X_Cu43Zr45.1Y3.15Al8.75_Pd_[¦Ìm]	Y_Cu43Zr45.1Y3.15Al8.75_Fn_[mN]	X_Cu43Zr45.1Y3.15Al8.75_Pd_[¦Ìm]	Y_Cu43Zr45.1Y3.15Al8.75_Fn_[mN]	X_Cu43Zr45.1Y3.15Al8.75_Pd_[¦Ìm]	Y_Cu43Zr45.1Y3.15Al8.75_Fn_[mN]	X_Cu43Zr45.1Y3.15Al8.75_Pd_[¦Ìm]	Y_Cu43Zr45.1Y3.15Al8.75_Fn_[mN]	X_Cu43Zr45.1Y3.15Al8.75_Pd_[¦Ìm]	Y_Cu43Zr45.1Y3.15Al8.75_Fn_[mN]	X_Cu43Zr45.1Y3.15Al8.75_Pd_[¦Ìm]	Y_Cu43Zr45.1Y3.15Al8.75_Fn_[mN]	X_Cu43Zr45.1Y3.15Al8.75_Pd_[¦Ìm]	Y_Cu43Zr45.1Y3.15Al8.75_Fn_[mN]	X_Cu43Zr45.1Y3.15Al8.75_Pd_[¦Ìm]	Y_Cu43Zr45.1Y3.15Al8.75_Fn_[mN]	X_Cu43Zr45.1Y3.15Al8.75_Pd_[¦Ìm]	Y_Cu43Zr45.1Y3.15Al8.75_Fn_[mN]	X_Cu43Zr45.1Y3.15Al8.75_Pd_[¦Ìm]	Y_Cu43Zr45.1Y3.15Al8.75_Fn_[mN]	X_Cu43Zr45.1Y3.15Al8.75_Pd_[¦Ìm]	Y_Cu43Zr45.1Y3.15Al8.75_Fn_[mN]	X_Cu43Zr45.1Y3.15Al8.75_Pd_[¦Ìm]	Y_Cu43Zr45.1Y3.15Al8.75_Fn_[mN]	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.00218054617948899	0.00194747180857597	0.00289403663230691	0.0020288970463688	0.00102440373087946	0.00369426907770548	0.00201751685144541	0.00197149520048755	0.000121490902831387	0.00381387490126526	0.00189701476275683	0.00191189919874248	0.000825112253937541	0.00254189989596109	0.000550920249337273	0.0046091497636478	0.00127433939076893	0.00317436964380406	0.00190946282150188	0.00248683351867622	0.00266206789470905	0.00250477762091622	0.0016372096721481	0.0033554250760665	0.00125122899368827	0.00235719096681174	-0.00174881472163599	0.00765900367697777	0.000400614204868919	0.00472959596027211	0.000200180664476568	0.00362917748290769	0.00271611877773313	0.000871559636365118	0.00152771239703587	0.00238705786190466	-0.000780945865131172	0.00599409003094901	0.00250498586588182	0.0021729646382656	0.00341328409835593	0.0232326263237149	0.0049831453352433	0.0270463229640271	0.00109565429633008	0.00286822055405541	0.00187005620208535	0.00319656813468321	0.00482268634889062	0.0513891366756559	0.000380083773096104	0.00539760523508036	-0.00011039396332396	0.00345104110217365	0.000938259790745897	0.00338743832171023	0.0190833173698533	0.219831298199579	0.00257739068543143	0.0011730589346718	0.00170190924029337	0.0021009835930074	0.00244185151421	0.00141766206612739	0.0137814463927802	0.174072562830801	0.00203972867098659	0.00267950223139058	0.000152304141390322	0.00490968863559503	0.0013780126135512	0.00326610445829916	0.0222274184609656	0.333739137723394	0.00169138765622113	0.00272493330857568	0.00020144845525749	0.00459369017344136	0.00106172194331516	0.00567871002516317	
0.0031786256533607	0.0051308468137419	0.00532766992581405	0.00377424276202323	0.00236605929845588	0.00673295166814417	0.00369798973066245	0.00470483405869777	0.00118143811730168	0.00677624270439765	0.00243414606543387	0.00571257323978587	0.00252974753671347	0.00466729978257257	0.00435537523143016	0.0042228000706641	0.00283467315367545	0.00676586218711201	0.00485925947764049	0.00398099852381741	0.00323641839134473	0.00700634070344755	0.0026567689716187	0.00774553623886924	0.00167083493845958	0.00588953907247261	-0.00102162477601377	0.011717179757472	0.00165302558141763	0.00663164214863093	0.000762063104300431	0.00775578689737066	0.00560316592996198	0.00230941794088081	0.00225525860482926	0.00743008569040394	-5.50835376678943E-5	0.0096860271643499	0.00378528845767703	0.00483247981503935	0.008676971620292	0.0733856106012444	0.0122628665230205	0.0894551843232807	0.00244677891222054	0.00671336388168246	0.00342482261394282	0.00561815223281666	0.015149356064495	0.173776194901358	0.00146285916875802	0.00972557381109403	0.00272408222422873	0.00309161790805169	0.00232033494979374	0.00695534948751067	0.0379149289843737	0.491989498465355	0.00630630641017428	0.00129867833691407	0.00239506509846372	0.00543952020591541	0.00100785203648072	0.00777590284443363	0.0421212840135295	0.619898520768783	0.00178278072429733	0.00738390337063086	-7.96430455310667E-5	0.00971753569730155	0.00232841883412564	0.00797102946646278	0.0660957094539653	1.20052468383055	0.000220466298014194	0.00995662365314755	0.000879523084613815	0.00867788871510669	0.00174097015553128	0.0116695004094909	
0.0040131407181697	0.00914158183385555	0.00694521997236063	0.00591082579495654	0.00349595768347304	0.0104945360835094	0.00491484450252217	0.00746999249703286	0.00337215380836744	0.009346752914894	0.00386790270174644	0.00860395634905852	0.00423400257207552	0.00832143695372113	0.00774369812742511	0.00421904021974555	0.00471178702256769	0.00987160181872738	0.0067422633117142	0.00730424209772833	0.00366228489911171	0.0115976880754918	0.00344534652685349	0.0118365414385593	0.00264588030825758	0.00976654199798951	0.00534218979157116	0.00864221105864014	0.00313865440102836	0.00921317361539988	0.00281731507832778	0.0098163584594663	0.00655284457678518	0.00519513353418856	0.00365955652664014	0.0115965716707984	0.00308217607720854	0.0101096952421642	0.00456713682567032	0.00800325468120539	0.0141947327378445	0.13393528297944	0.0183856118688925	0.166492248631683	0.00376335972635745	0.0103885372095365	0.00439644510351383	0.00961790601442269	0.0262072591787144	0.323451527136119	0.00254245592335759	0.0140076383727001	0.0045637319536226	0.00567218712947188	0.00344318938873118	0.0106705551322565	0.0528666835170581	0.777316861245167	0.00656147533791961	0.00528951907086608	0.00294149414853586	0.0117596640719633	0.00445200162680318	0.00884444265294208	0.0687610480794134	1.16804841945835	0.00249085439181716	0.0116109726092223	0.00265095097142388	0.0113558557195136	0.00321016082097681	0.0126497901322885	0.10559532479585	2.26657745372928	0.00342588336197557	0.0109268288991709	0.00318358153383503	0.0101417240060606	0.00357283244984441	0.0148173705621754	
0.005724488741976	0.0123516741541118	0.00885356585892355	0.00819832491456571	0.00486955543674302	0.0147082448455664	0.00597133786719738	0.0108648068204241	0.004428821430226	0.0132727321277751	0.00550503536375392	0.0127294827827568	0.00480758444620333	0.0136880147785242	0.00848457299684297	0.00785218398043757	0.00694819734937668	0.0125168433863295	0.00823561966731108	0.00991746354163332	0.0047901667151818	0.0150613311356547	0.00445698007242374	0.0159034050120322	0.00390533728675411	0.013972144888902	0.00430860975642759	0.0148564606426009	0.00392377859686754	0.0137317213401498	0.00376199135821115	0.0149772713476313	0.00714212849871978	0.0104290697484905	0.00513434218631379	0.0157440746786792	0.00411499041929879	0.0138261123337953	0.00634085915734286	0.0104741406657908	0.0198737662246622	0.196114362332195	0.0244113119252236	0.245370348407759	0.00480903294549581	0.015119179088666	0.00534240511298178	0.013310206945687	0.0355910070307627	0.48225066240315	0.0031867750702276	0.019133621209008	0.0042725936427324	0.0112197161925556	0.00397025872353208	0.0150464904565634	0.0650631030054119	1.07194755402689	0.00643229176807149	0.0101902109852985	0.00339965809163327	0.0185210147108214	0.00653456527627534	0.0106366709992567	0.090779143892148	1.73964482851151	0.00426036279150826	0.0152939166594392	0.00407708282518696	0.0154617511657539	0.00461035271143937	0.0169493279052752	0.136941742976896	3.37842381810805	0.00603815712160665	0.0134246068218211	0.00480071826942448	0.0141376797379724	0.00517007468290975	0.0176695167076352	
0.00677524665387629	0.016257597190782	0.0112589794435208	0.0101974014500692	0.00587289060747703	0.0199043333491464	0.00703341418384767	0.015273520332226	0.00487261214211961	0.0182472422666761	0.00581522153835851	0.0190658875038053	0.00544926528890896	0.017912198190564	0.00981387346821816	0.011660043484031	0.00867758559990748	0.0149498725652464	0.00956388328534841	0.0127251726875698	0.00672590485737372	0.0185484218776102	0.00527471067549271	0.0217759738236705	0.00456347670400964	0.019593366211444	0.0034442504921887	0.0205231507863564	0.00436802379490601	0.0187088435477102	0.00450840482736685	0.020067836642945	0.00830349173468744	0.0155915542434256	0.0058299772379148	0.021575517960846	0.00469746306681962	0.0189606898946267	0.00743145512152507	0.0139034739494536	0.025365495581061	0.262323128754758	0.0306565156150861	0.325641823104599	0.00590590905864665	0.0194116519071448	0.00614185794641067	0.0177877946689934	0.0440479886647587	0.645508416972887	0.00443909437261547	0.0287776188061959	0.00478006339758256	0.0160500896179657	0.00438987139583252	0.0207852998887652	0.0764048186144839	1.3689142947531	0.00832244699766983	0.0124853389461038	0.00440555959230516	0.0230649082327165	0.00663871319703538	0.0150763728130655	0.110289105280365	2.3269114376302	0.0052612188026421	0.0202704968081831	0.00364718999817115	0.0215750177387838	0.00587307618286543	0.0225960528222856	0.163479206344353	4.52211815339697	0.00621854577151531	0.0194325684653027	0.00530985180258841	0.0205201640058976	0.00650705014889855	0.022034479888381	
0.00757780838394721	0.0214785330884343	0.0128992265097547	0.0127374635983858	0.00637319023313363	0.0259501590742538	0.00792446561242524	0.0200810708986739	0.0057338266443246	0.0235645409423936	0.00632858140019108	0.0241123468556514	0.00656414556313521	0.0217882643365826	0.0121457857937442	0.0142547371574989	0.00949728149133962	0.0193594519159633	0.0111947691707032	0.0156538364376448	0.0079226631101954	0.0244636723640808	0.00636650598706417	0.0268542536651361	0.00524369578899902	0.0249703759399809	0.0083965114602349	0.019900106927468	0.00496709014929142	0.0238891359480601	0.00538203342878813	0.024025928293231	0.00960782912720519	0.0189191587305375	0.00655937075096111	0.0263353873603234	0.00526270502030419	0.0235982140726327	0.00813219340721016	0.0187247851700857	0.0302518970030695	0.32912398347601	0.03634314224179	0.407386446317696	0.00654939794362739	0.0237453066437639	0.00689054252061296	0.0229046771017476	0.0523121913856626	0.808426529857327	0.00992899728503008	0.0905134577560831	0.0068552364305156	0.0189889069664089	0.00514421081010966	0.026197200560889	0.0863952444838013	1.6682346039289	0.0101798486774351	0.0148978717533951	0.00581527727272932	0.0276034903058056	0.00791262258166343	0.018003330351161	0.127477337994536	2.92115993892852	0.00560531661278816	0.0262773234023307	0.00464130763725873	0.0257232156005837	0.00668513347565895	0.0283583053888068	0.187027578358444	5.67527751956214	0.00665499193350298	0.0250930012858072	0.00607828453288696	0.0259705835958014	0.00788407357709094	0.0260974908424802	
0.00860661618176683	0.0266068678779292	0.0144553495551995	0.0152351323816769	0.00710619523105113	0.0309749679057525	0.00862237915416933	0.025864980352005	0.00702934213793588	0.0287091374963838	0.00720770356026173	0.0299782708993141	0.00772045912152348	0.0274253158684044	0.0126421708672487	0.0185188228286943	0.0109691187601767	0.0234322854123751	0.0132397340040644	0.018267660421761	0.00830116498932797	0.0320377965425524	0.00768924347717082	0.030353559829851	0.00678441798235883	0.0291362025367479	0.00994057495514703	0.0247589693635633	0.00604639193802322	0.0288471223880041	0.00653479272753026	0.028825788172846	0.0110744201431886	0.0231585752686138	0.00794691065004613	0.0298255803885594	0.00659100875806014	0.0282784626717199	0.00919883306042159	0.0252486049079533	0.0346694854886064	0.395609003444147	0.0408926492030201	0.491643923236905	0.00749794376950098	0.0288642845522114	0.00794347771335692	0.0277751592416008	0.0600821701558154	0.975027906934104	0.0208716788122109	0.239620122998602	0.00797165731093976	0.0233750684212832	0.00639336596951457	0.0311028401262641	0.095119218314288	1.96736154726433	0.0103815534690434	0.0214756718182384	0.00670378332449001	0.0328537046555067	0.00940376876358271	0.0222546576312859	0.143121207094361	3.51582450856729	0.00620325708112498	0.0313477925036685	0.00670503753369813	0.0294065598284504	0.00760880564219487	0.0321028331413451	0.209190941476054	6.83601645414081	0.00797651379225969	0.0293799371008046	0.00726021252277482	0.0301218373596541	0.00872413635532268	0.0292007739290227	
0.00933215341944188	0.0312759660725023	0.0159913899931492	0.018470041173187	0.00771557580216742	0.0376049838779339	0.00971031916462047	0.0308427464817836	0.00797494121988614	0.0337369767640849	0.00787203656264412	0.0373282701280627	0.00864040146009658	0.0343620716471152	0.0125499868363548	0.0240432170761478	0.0129375137619073	0.0277688741787627	0.0145556752738922	0.0237908032045644	0.00964011508018068	0.0416676151180131	0.00853167188641251	0.0370853737201773	0.00828860639091066	0.0348419954938541	0.00993729521464674	0.0302715329044981	0.00708038568374008	0.0344119236641488	0.00808901245339504	0.0344404952398959	0.012407283798536	0.0277143831705362	0.00926022269219447	0.034356158908653	0.00729445468442213	0.0333082082402253	0.010376114780925	0.0303878172535648	0.0380829866694735	0.462145537189746	0.0451729978364355	0.575380354304194	0.00899400994778585	0.0339378568493242	0.00899814238522205	0.033540744196551	0.0669077506469579	1.14278330904134	0.0334183291261347	0.419810339804667	0.00813756519183045	0.0286715676362801	0.0072713836745049	0.0366446311875468	0.103767181175812	2.26717010227668	0.0106828148709783	0.0283840695534949	0.00681046784052821	0.0392122946797618	0.0101589860468862	0.0279828150620465	0.157943420890264	4.11430493944366	0.00755627592018999	0.0344405982117443	0.00720439621287053	0.0334931667119716	0.0107289539396466	0.0535730479916321	0.229849468288539	8.00207603433553	0.00952447331291891	0.0339320670063278	0.0082364569480203	0.0311032330279566	0.0111670080358772	0.0658915055818234	
0.0103422486423939	0.037083635164294	0.0170464956597179	0.0220994159880139	0.00861095727954654	0.0468605181165515	0.0109938611928292	0.0374876854423229	0.00937223858196931	0.0396969571073588	0.00847641411980599	0.0462399535401025	0.0102371250359749	0.0424007893440477	0.0141555625070947	0.0276892465571625	0.0134942883633492	0.0352253952409128	0.0153011666394732	0.0290074572013642	0.011130030360692	0.0514067458564879	0.0102831123497956	0.0486436865886682	0.00940035709621485	0.0472763827301953	0.0115553387732082	0.0342942059515002	0.00841328335200385	0.0409013390380719	0.00824426317463291	0.0417166998910371	0.0133956983677696	0.0343235971808867	0.0101562959123306	0.0412417392419151	0.00771532311788733	0.0401318265213881	0.0119784769962325	0.0366098230079739	0.0417703602158117	0.527537475545508	0.0496498958423967	0.658131620757317	0.0101052586904168	0.042296924030857	0.00989041331650222	0.039795688209515	0.0736149331204357	1.30990203578374	0.0447762534705506	0.60925941596182	0.0097973914254443	0.0377825272397288	0.00855809490867257	0.0479772984312454	0.111910892763415	2.56634326249267	0.0129113414497548	0.0393809513692478	0.00816454438845058	0.0544653786670097	0.0107714771288187	0.0330663008509378	0.172407671342573	4.7181046189523	0.00975188630818962	0.0517287674470179	0.00840181940589228	0.0554963818119695	0.0314009198543613	0.339456002868473	0.249017072155669	9.1661993949896	0.0100165638248266	0.0379407702153742	0.0107958331539421	0.0623544590267563	0.0377441744480884	0.544254496687111	
