X_La55Al25Cu10Ni5Co5_Pd_[¦Ìm]	Y_La55Al25Cu10Ni5Co5_Fn_[mN]	X_La55Al25Cu10Ni5Co5_Pd_[¦Ìm]	Y_La55Al25Cu10Ni5Co5_Fn_[mN]	X_La55Al25Cu10Ni5Co5_Pd_[¦Ìm]	Y_La55Al25Cu10Ni5Co5_Fn_[mN]	X_La55Al25Cu10Ni5Co5_Pd_[¦Ìm]	Y_La55Al25Cu10Ni5Co5_Fn_[mN]	X_La55Al25Cu10Ni5Co5_Pd_[¦Ìm]	Y_La55Al25Cu10Ni5Co5_Fn_[mN]	X_La55Al25Cu10Ni5Co5_Pd_[¦Ìm]	Y_La55Al25Cu10Ni5Co5_Fn_[mN]	X_La55Al25Cu10Ni5Co5_Pd_[¦Ìm]	Y_La55Al25Cu10Ni5Co5_Fn_[mN]	X_La55Al25Cu10Ni5Co5_Pd_[¦Ìm]	Y_La55Al25Cu10Ni5Co5_Fn_[mN]	X_La55Al25Cu10Ni5Co5_Pd_[¦Ìm]	Y_La55Al25Cu10Ni5Co5_Fn_[mN]	X_La55Al25Cu10Ni5Co5_Pd_[¦Ìm]	Y_La55Al25Cu10Ni5Co5_Fn_[mN]	X_La55Al25Cu10Ni5Co5_Pd_[¦Ìm]	Y_La55Al25Cu10Ni5Co5_Fn_[mN]	X_La55Al25Cu10Ni5Co5_Pd_[¦Ìm]	Y_La55Al25Cu10Ni5Co5_Fn_[mN]	X_La55Al25Cu10Ni5Co5_Pd_[¦Ìm]	Y_La55Al25Cu10Ni5Co5_Fn_[mN]	X_La55Al25Cu10Ni5Co5_Pd_[¦Ìm]	Y_La55Al25Cu10Ni5Co5_Fn_[mN]	X_La55Al25Cu10Ni5Co5_Pd_[¦Ìm]	Y_La55Al25Cu10Ni5Co5_Fn_[mN]	X_La55Al25Cu10Ni5Co5_Pd_[¦Ìm]	Y_La55Al25Cu10Ni5Co5_Fn_[mN]	X_La55Al25Cu10Ni5Co5_Pd_[¦Ìm]	Y_La55Al25Cu10Ni5Co5_Fn_[mN]	X_La55Al25Cu10Ni5Co5_Pd_[¦Ìm]	Y_La55Al25Cu10Ni5Co5_Fn_[mN]	X_La55Al25Cu10Ni5Co5_Pd_[¦Ìm]	Y_La55Al25Cu10Ni5Co5_Fn_[mN]	X_La55Al25Cu10Ni5Co5_Pd_[¦Ìm]	Y_La55Al25Cu10Ni5Co5_Fn_[mN]	X_La55Al25Cu10Ni5Co5_Pd_[¦Ìm]	Y_La55Al25Cu10Ni5Co5_Fn_[mN]	X_La55Al25Cu10Ni5Co5_Pd_[¦Ìm]	Y_La55Al25Cu10Ni5Co5_Fn_[mN]	X_La55Al25Cu10Ni5Co5_Pd_[¦Ìm]	Y_La55Al25Cu10Ni5Co5_Fn_[mN]	X_La55Al25Cu10Ni5Co5_Pd_[¦Ìm]	Y_La55Al25Cu10Ni5Co5_Fn_[mN]	X_La55Al25Cu10Ni5Co5_Pd_[¦Ìm]	Y_La55Al25Cu10Ni5Co5_Fn_[mN]	X_La55Al25Cu10Ni5Co5_Pd_[¦Ìm]	Y_La55Al25Cu10Ni5Co5_Fn_[mN]	X_La55Al25Cu10Ni5Co5_Pd_[¦Ìm]	Y_La55Al25Cu10Ni5Co5_Fn_[mN]	X_La55Al25Cu10Ni5Co5_Pd_[¦Ìm]	Y_La55Al25Cu10Ni5Co5_Fn_[mN]	X_La55Al25Cu10Ni5Co5_Pd_[¦Ìm]	Y_La55Al25Cu10Ni5Co5_Fn_[mN]	X_La55Al25Cu10Ni5Co5_Pd_[¦Ìm]	Y_La55Al25Cu10Ni5Co5_Fn_[mN]	X_La55Al25Cu10Ni5Co5_Pd_[¦Ìm]	Y_La55Al25Cu10Ni5Co5_Fn_[mN]	X_La55Al25Cu10Ni5Co5_Pd_[¦Ìm]	Y_La55Al25Cu10Ni5Co5_Fn_[mN]	X_La55Al25Cu10Ni5Co5_Pd_[¦Ìm]	Y_La55Al25Cu10Ni5Co5_Fn_[mN]	X_La55Al25Cu10Ni5Co5_Pd_[¦Ìm]	Y_La55Al25Cu10Ni5Co5_Fn_[mN]	X_La55Al25Cu10Ni5Co5_Pd_[¦Ìm]	Y_La55Al25Cu10Ni5Co5_Fn_[mN]	X_La55Al25Cu10Ni5Co5_Pd_[¦Ìm]	Y_La55Al25Cu10Ni5Co5_Fn_[mN]	X_La55Al25Cu10Ni5Co5_Pd_[¦Ìm]	Y_La55Al25Cu10Ni5Co5_Fn_[mN]	X_La55Al25Cu10Ni5Co5_Pd_[¦Ìm]	Y_La55Al25Cu10Ni5Co5_Fn_[mN]	X_La55Al25Cu10Ni5Co5_Pd_[¦Ìm]	Y_La55Al25Cu10Ni5Co5_Fn_[mN]	X_La55Al25Cu10Ni5Co5_Pd_[¦Ìm]	Y_La55Al25Cu10Ni5Co5_Fn_[mN]	X_La55Al25Cu10Ni5Co5_Pd_[¦Ìm]	Y_La55Al25Cu10Ni5Co5_Fn_[mN]	X_La55Al25Cu10Ni5Co5_Pd_[¦Ìm]	Y_La55Al25Cu10Ni5Co5_Fn_[mN]	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.00148048183464894	0.00175543564939665	0.00179047884936739	0.00316222925435408	0.00190878486027552	0.00244523550672968	0.00224233228561504	0.00254280927693283	0.000644246651776269	0.00357719710626448	0.00227904326733291	0.00150461055129492	0.00104008444694281	0.00377494489189965	0.00174065386311705	0.00119000463915035	0.00182898786003922	0.00233363505515467	0.00195630099554128	0.00249486572075342	0.00206398325019866	0.00114980679423069	0.00185226518005034	0.0014815845339633	0.00128706045122148	0.00329302368120364	0.00138695697955623	0.00249817810029994	0.00122113113483076	0.00320252714368619	0.00413436824499296	-0.00032693968289632	-0.00113361451763456	0.00611490002543675	0.000443429839311085	0.0040357624941283	0.00217052788286524	0.00208602058688453	0.00184920594831962	0.00251532389360339	0.00262664785376664	0.00200225249085121	0.00128134879464846	0.00356617039302393	0.00244402990809393	0.00237109077367873	0.00127565981391533	0.00361255871333718	0.000773353553760468	0.00399065701603097	0.00180079431424537	0.00232573472980296	0.00157193147430163	0.00130121673650616	0.00113875938037308	0.00155362787960561	0.00195513406872484	0.00279545006743357	0.00131777422825855	0.00310971594226266	0.0015934780812217	0.0109350862011761	0.00196402606770678	0.00255119390819022	0.00135864157388565	0.00370887647141684	0.0011804408927883	0.00310606750443979	0.0195330265523908	0.165621105543872	0.00178231090534964	0.00298714607561058	0.00131811568795168	0.00196885584698836	0.00261941852301774	0.00153598368322927	0.030839728861245	0.321593716948964	0.0348367224740608	0.367150828265872	0.00112404518433016	0.00317643556092101	0.00216110830042037	0.00305863781274247	
0.00272927542625379	0.00572927974716922	0.00457815514883184	0.00468565099735912	0.00336956063697141	0.00571988921481944	0.0044037552106316	0.00472893794088663	0.00128632202628063	0.00840353601336914	0.00525439649287215	0.00209159874499923	0.00235872615734346	0.00730478643028149	0.00308466601951148	0.00340016669945698	0.00145508998933077	0.00783658159956973	0.00375482932724212	0.00474305830020833	0.00254659933695041	0.00440581768080899	0.00252987309778791	0.00568542573372208	0.0030609880476637	0.0059849987223419	0.0029425657682272	0.00559094106212678	0.00253410474090391	0.00656999296269413	0.00575869743186864	0.00223034283728573	-0.00281054592161987	0.0134415434313531	0.00175898511104086	0.00659767616111181	0.00318196318769459	0.00586155483132294	0.00372901764916972	0.00592758505303009	0.0039380758698152	0.00490946126193039	0.00338900843107613	0.00678330947789477	0.00520101843688586	0.00381775662446806	0.001983573773802	0.00716296756392802	0.00180937613096191	0.00745703765511613	0.0035141837988005	0.00558485040377197	0.00274146960387476	0.00429555191264544	0.00263661434020211	0.00465554217668702	0.00352913522400657	0.00613722448132611	0.0029258626722491	0.00663911728522975	0.0138878206667215	0.0971315820856037	0.00329903300980164	0.00613776523274405	0.00114009355550387	0.00867550697596955	0.0030032080208719	0.00625612953925146	0.0633430028074809	0.596919989062781	0.00292161904790455	0.00587436233510498	0.00255915795887585	0.00387512027157365	0.00378617775796023	0.00503442400902917	0.0963476424967253	1.17231162110074	0.104648183589581	1.3401913693177	0.00233050323009587	0.00759070062811884	0.00286256633693185	0.00750365107535738	
0.00437388210359937	0.0101479658679024	0.00621227325813029	0.0071243899837426	0.00484710657162249	0.00954948359438983	0.00527263759784187	0.00840069975427637	0.00289074752382421	0.0121826136489973	0.00643860889657931	0.00613608192866128	0.00369244781289791	0.0101018026475171	0.00449137180163222	0.0062254172688734	0.00342285028399611	0.0094252941451245	0.00582398704478599	0.00644413709184063	0.00367783788387812	0.00840820353995694	0.0047400510265528	0.00917492027006025	0.00394591077751108	0.0106886440715209	0.00435439321715944	0.00949546893399077	0.00419636370964933	0.00954349570893144	0.00646309733604784	0.00681525729676651	-0.00116594371925821	0.0156312427713365	0.00343895197796327	0.00984366441655263	0.00458291545138318	0.00937857067602956	0.0047846718402716	0.00861918811085299	0.0050734088893229	0.00889438300464439	0.00504107880092945	0.00932464696509636	0.00728043089857589	0.00528954817469515	0.00347277702583297	0.0103799629486428	0.00446423248193298	0.00931767637065938	0.00483245523638883	0.00826994659574694	0.00442850249413257	0.00736714638629396	0.00425771347146058	0.00768106619840546	0.00529613494985778	0.00989580256209738	0.00413947340082666	0.0100123938656113	0.0398278196415575	0.314678833607297	0.00480427444372085	0.0104082516431294	0.0028092648438676	0.0107379163993965	0.00431705225029995	0.0100123088278607	0.105230210829769	1.14286998752028	0.00501705025700764	0.00859398965184253	0.00463027094633212	0.00648713072334075	0.00417948905923322	0.0100334795897757	0.156854289437389	2.23858767557612	0.164411367451541	2.5560456219983	0.00356377356681845	0.0121829938177646	0.00421521109427515	0.0120635371513289	
0.00606107418316971	0.0139014039396107	0.00680448970986265	0.0103178694745653	0.00626755294542225	0.0136667596609797	0.00662239674467657	0.0122581130743422	0.00379132578946384	0.0172187375035434	0.00790098089377914	0.00936468792218742	0.00513728008522217	0.0136499268475256	0.00540063768603723	0.0107873503899477	0.00660717108310491	0.00990062925025044	0.00700318661468119	0.010594749661959	0.00615903186170016	0.0120314256234186	0.00682311186194446	0.0128164995937105	0.00579680201005736	0.0145410197006729	0.00557437151479269	0.0128576842403348	0.005385350967374	0.0135879106804941	0.00848983195933663	0.00983224116364094	0.00365960311932399	0.0134043814796037	0.00476983331088657	0.0137590657518072	0.00682597357348106	0.0114842254336034	0.00593596627765014	0.0121515043842008	0.00692462779871501	0.0117437269970611	0.00578152092505942	0.0127377700980857	0.00810490180627937	0.00969743677484172	0.00505425714033002	0.0139654582841721	0.00727258026124605	0.0110363447889885	0.00560991954713003	0.0120802954999077	0.00583693780694269	0.0110869840873359	0.00567073315744656	0.0110319073645493	0.00702635408580464	0.0131149245726976	0.00514323149214811	0.0132530133740826	0.0663623514714077	0.585015105069188	0.00650091566388257	0.0128934910450428	0.00486619634479249	0.0141931129826652	0.00518215312251348	0.0128456957364928	0.138008335306682	1.71649819308877	0.00613439030931876	0.0128833792834288	0.00650769370154333	0.0110514805990965	0.00548941090093682	0.0143600111642288	0.204030549384044	3.351843363774	0.212245145532038	3.81983329908783	0.00442071459788177	0.0170340054959671	0.00631654951349961	0.0148282190144629	
0.00697176725087137	0.0178339246928236	0.0072225336769676	0.0158275735642936	0.00704309298328376	0.0185299432198847	0.00873058654375838	0.0147210991883233	0.00445765987435181	0.022747805871421	0.00957694512384982	0.0117097830647875	0.00646871380352684	0.018862684569208	0.00620030491833588	0.0153946861664989	0.00735747738900658	0.0147163520241095	0.00782806513007964	0.0154740348006126	0.0074581956034599	0.0170733288617725	0.00744628427469072	0.017952304972331	0.00752304030207572	0.0189150560001327	0.00651004489051825	0.0170981683546099	0.00602178652592849	0.0179689901065899	0.0106388989935724	0.0127954925408341	0.00629824107569541	0.0160136561714378	0.00576379901383485	0.0194266249177089	0.00806273421109143	0.0152795611957483	0.00698567927779054	0.017411597892257	0.00833476741565305	0.0143366808072471	0.00711677379971269	0.0161387526142514	0.00930121987057973	0.0131933623479107	0.00598736817077838	0.018818290770681	0.00794150217145703	0.0156982643422214	0.00659123836528623	0.0168874440697165	0.00673176259762709	0.0145407018322898	0.0066813891236751	0.0157796172751889	0.00800208260304065	0.0169816633962451	0.00608459523049278	0.0174332903062021	0.089009839569802	0.869901195592574	0.00772219444640104	0.0168932780232039	0.00582342995566422	0.0188362378287787	0.00659793837371181	0.0158257259258947	0.165501329104944	2.30661208801347	0.0069288725490086	0.017044695696184	0.00735736866045424	0.0158036374838692	0.00701964680653208	0.018796824423002	0.244102828785122	4.49383174901789	0.254751659632721	5.12126200605709	0.00531566462916908	0.0215090539101867	0.00719431785032692	0.0160424816951467	
0.00802608507402874	0.0225205232699302	0.00866221843882109	0.0208285936535026	0.00812966524530374	0.0235427730972353	0.00994960454931604	0.0185912881798582	0.00582253326997748	0.0278030941426652	0.0102162556411839	0.0168998525327171	0.00753676296175423	0.024933874736101	0.00736607596379399	0.0196800742489611	0.0073196403791766	0.0201936213174197	0.00870049215761949	0.0200791814235207	0.00822218409150298	0.0214914358617818	0.00849516654130077	0.0224247867926242	0.00824830638027048	0.0240220122081832	0.00799380353913858	0.0201915156099115	0.00706474557515122	0.0225564900320113	0.0113887649658797	0.0174670777485511	0.00293980613753522	0.0263660364208227	0.00784794391178697	0.0326912088828379	0.0087233707630629	0.0209405397130479	0.00790372381858213	0.0228627007400231	0.00909691163745174	0.019007556154383	0.00910240174484377	0.018676164495133	0.0108523313460666	0.0180582585989446	0.0067524883512894	0.0232881568843361	0.00830112374348286	0.0210815718665217	0.00779605799481389	0.0217697141698395	0.00768624158132449	0.0194452572800318	0.00780818624548236	0.0209952558212024	0.00869641582718295	0.0221889607393711	0.00685342150277191	0.0212220269456346	0.108066674331708	1.16583841746911	0.0086867012763254	0.0215637886629817	0.00578026242598177	0.0253227601001928	0.00840428431497962	0.0194786093586564	0.190567976153478	2.90169598562154	0.00809032029085874	0.0213621214101154	0.00844880520838031	0.0199220803184192	0.00791382896817431	0.02412935895324	0.279516372159446	5.65250407890164	0.292601985313368	6.43890969489292	0.00627770057162128	0.0258773349274471	0.0117952951432772	0.0471652070126258	
0.00957001326058394	0.026458732571172	0.0101104059216911	0.0249306637652089	0.00919316662901593	0.0273432365902652	0.0106807869080235	0.0236525950320055	0.00721878051562931	0.032895555052221	0.0115191860209285	0.0206551641634221	0.0077573913199509	0.0309961600407919	0.00827604994587388	0.0239822409162584	0.00873018132243052	0.0233207854599598	0.0103066932875566	0.0242918291747933	0.00924511346607299	0.0262868474030217	0.00943898398879175	0.0270790765951663	0.00979435897357169	0.0271797849387102	0.0092134070329795	0.0250280319896192	0.00843052081378806	0.0276882952257497	0.0120313072215098	0.0221720789268923	0.00215098901851711	0.0337656153866415	0.0125414983079692	0.0543588168158432	0.00991123248248328	0.0248716539327713	0.0091203482858709	0.0279309047449137	0.010129183254629	0.0236037488023774	0.0103302627145672	0.0227924454608795	0.0121840242911897	0.0229524849158492	0.00767673790471614	0.0280800259438808	0.00943055710935983	0.0249458741538789	0.00849509733047565	0.0276643682402719	0.00888808053922859	0.0245756657173483	0.00887468270857583	0.0266772400271364	0.00980734914882374	0.0268810277667992	0.00782500876870387	0.0255740170945706	0.125410910353239	1.464251502085	0.00978480659721514	0.0272066045719496	0.00736482535390373	0.0299124357642113	0.00923276169246354	0.0247490617835001	0.213517457232799	3.49995033795366	0.00911326253105033	0.026028876746448	0.00967752223953834	0.0245726939435514	0.00895805650510058	0.0274006657209862	0.31141085196843	6.81573569823287	0.326424319064409	7.76177744651153	0.00693706390740867	0.0283543181642236	0.0574777653700203	0.498210223651285	
0.010493950677019	0.0320982347363513	0.0108343607825993	0.0295073723091327	0.00971849433211531	0.0332193315126948	0.0116170694903868	0.0286222230035792	0.00781477155455257	0.03927042412137	0.0127980194482654	0.0243639033011455	0.00869757675964038	0.0355907397000094	0.0091397647014075	0.0293081106696384	0.010864197449723	0.0267264800679516	0.0117706724463799	0.0296387128875248	0.0103885495882868	0.0310952654000001	0.0106941390982176	0.0333761083829505	0.0110049239394439	0.0314521106315123	0.00986773538793508	0.0323800880405381	0.00915597456894297	0.033192218567428	0.0134707046347209	0.025499112023985	0.00710201106873811	0.0341630659166804	0.0178837474505979	0.0805974102976332	0.0111692895783272	0.0294336627692759	0.0105778170671529	0.0324431978748966	0.011297132350409	0.0288460012084637	0.0111453731292424	0.0275820571546816	0.0134425399983971	0.0274758536444106	0.00851836458928455	0.0337341395954975	0.0111879595867025	0.0314537299867519	0.00952988707832769	0.0320903585126081	0.00979866987437433	0.02954551196764	0.0097421197594523	0.031159944567392	0.0116693503443898	0.0355943476653199	0.00893032230847188	0.029620483886083	0.141545383167034	1.76401709984563	0.0119946621832221	0.0384669997320993	0.00876119931092742	0.0337377830310998	0.010039580019275	0.0306050286796408	0.23384257154419	4.10067642028141	0.00978583829176066	0.0305320794773185	0.0106722419317443	0.0272478342385594	0.0120697987548222	0.048803097753359	0.340387765517755	7.98031354428177	0.357493901906057	9.09084454655361	0.0108464578861772	0.0586029609071547	0.147039616507011	1.71196283062677	
0.0112122481676811	0.0386789633739953	0.0115326793564293	0.0357884343938938	0.0104873945375955	0.0408162094285347	0.0125881016327645	0.0339779751134613	0.00897933570001149	0.0465298649669642	0.0136212975095533	0.0293315722212246	0.0106473637471085	0.039561056777496	0.0102915876597057	0.0366501645530496	0.0121988472547159	0.0316106855727081	0.0123439225197401	0.0360495615653669	0.0118141130202723	0.0363379050234373	0.013360253993899	0.0431593477933768	0.0118452469546652	0.0387742338489756	0.0116018650590832	0.0442423294675687	0.0102194952654092	0.039073291154124	0.0145682559592417	0.0298606814254124	0.0111697644698651	0.0360534307830182	0.0222403063247822	0.109363569471131	0.0122901991004894	0.0366818786317941	0.0119694073440563	0.0386306109999668	0.0123874816743778	0.0370154730871072	0.0119438400807795	0.0328235167087993	0.0152398122499681	0.0331899002655433	0.00970676762485049	0.0413470391692428	0.0160344617952711	0.062963000083819	0.0112185072756723	0.0397525126790831	0.0110532933350347	0.0343378212225995	0.0113861506848094	0.0390624135980074	0.021352652620993	0.10241108580129	0.0104815620745698	0.040023683968505	0.155907032430735	2.06596641610938	0.0247251500271117	0.133332964230084	0.00991793825726057	0.0464896384729628	0.0113661229596415	0.0347033571303217	0.252625359291093	4.70191170320264	0.010550276138604	0.0350040719894854	0.0136413041322251	0.0452703367371232	0.0403827272600076	0.324889027099739	0.367857682981248	9.14679873887288	0.388065920139966	10.4183479560672	0.0508546736773184	0.472437960822754	0.222172387179121	3.23441346616709	
