X_La62Al14Cu24_Pd_[¦Ìm]	Y_La62Al14Cu24_Fn_[mN]	X_La62Al14Cu24_Pd_[¦Ìm]	Y_La62Al14Cu24_Fn_[mN]	X_La62Al14Cu24_Pd_[¦Ìm]	Y_La62Al14Cu24_Fn_[mN]	X_La62Al14Cu24_Pd_[¦Ìm]	Y_La62Al14Cu24_Fn_[mN]	X_La62Al14Cu24_Pd_[¦Ìm]	Y_La62Al14Cu24_Fn_[mN]	X_La62Al14Cu24_Pd_[¦Ìm]	Y_La62Al14Cu24_Fn_[mN]	X_La62Al14Cu24_Pd_[¦Ìm]	Y_La62Al14Cu24_Fn_[mN]	X_La62Al14Cu24_Pd_[¦Ìm]	Y_La62Al14Cu24_Fn_[mN]	X_La62Al14Cu24_Pd_[¦Ìm]	Y_La62Al14Cu24_Fn_[mN]	X_La62Al14Cu24_Pd_[¦Ìm]	Y_La62Al14Cu24_Fn_[mN]	X_La62Al14Cu24_Pd_[¦Ìm]	Y_La62Al14Cu24_Fn_[mN]	X_La62Al14Cu24_Pd_[¦Ìm]	Y_La62Al14Cu24_Fn_[mN]	X_La62Al14Cu24_Pd_[¦Ìm]	Y_La62Al14Cu24_Fn_[mN]	X_La62Al14Cu24_Pd_[¦Ìm]	Y_La62Al14Cu24_Fn_[mN]	X_La62Al14Cu24_Pd_[¦Ìm]	Y_La62Al14Cu24_Fn_[mN]	X_La62Al14Cu24_Pd_[¦Ìm]	Y_La62Al14Cu24_Fn_[mN]	X_La62Al14Cu24_Pd_[¦Ìm]	Y_La62Al14Cu24_Fn_[mN]	X_La62Al14Cu24_Pd_[¦Ìm]	Y_La62Al14Cu24_Fn_[mN]	X_La62Al14Cu24_Pd_[¦Ìm]	Y_La62Al14Cu24_Fn_[mN]	X_La62Al14Cu24_Pd_[¦Ìm]	Y_La62Al14Cu24_Fn_[mN]	X_La62Al14Cu24_Pd_[¦Ìm]	Y_La62Al14Cu24_Fn_[mN]	X_La62Al14Cu24_Pd_[¦Ìm]	Y_La62Al14Cu24_Fn_[mN]	X_La62Al14Cu24_Pd_[¦Ìm]	Y_La62Al14Cu24_Fn_[mN]	X_La62Al14Cu24_Pd_[¦Ìm]	Y_La62Al14Cu24_Fn_[mN]	X_La62Al14Cu24_Pd_[¦Ìm]	Y_La62Al14Cu24_Fn_[mN]	X_La62Al14Cu24_Pd_[¦Ìm]	Y_La62Al14Cu24_Fn_[mN]	X_La62Al14Cu24_Pd_[¦Ìm]	Y_La62Al14Cu24_Fn_[mN]	X_La62Al14Cu24_Pd_[¦Ìm]	Y_La62Al14Cu24_Fn_[mN]	X_La62Al14Cu24_Pd_[¦Ìm]	Y_La62Al14Cu24_Fn_[mN]	X_La62Al14Cu24_Pd_[¦Ìm]	Y_La62Al14Cu24_Fn_[mN]	X_La62Al14Cu24_Pd_[¦Ìm]	Y_La62Al14Cu24_Fn_[mN]	X_La62Al14Cu24_Pd_[¦Ìm]	Y_La62Al14Cu24_Fn_[mN]	X_La62Al14Cu24_Pd_[¦Ìm]	Y_La62Al14Cu24_Fn_[mN]	X_La62Al14Cu24_Pd_[¦Ìm]	Y_La62Al14Cu24_Fn_[mN]	X_La62Al14Cu24_Pd_[¦Ìm]	Y_La62Al14Cu24_Fn_[mN]	X_La62Al14Cu24_Pd_[¦Ìm]	Y_La62Al14Cu24_Fn_[mN]	X_La62Al14Cu24_Pd_[¦Ìm]	Y_La62Al14Cu24_Fn_[mN]	X_La62Al14Cu24_Pd_[¦Ìm]	Y_La62Al14Cu24_Fn_[mN]	X_La62Al14Cu24_Pd_[¦Ìm]	Y_La62Al14Cu24_Fn_[mN]	X_La62Al14Cu24_Pd_[¦Ìm]	Y_La62Al14Cu24_Fn_[mN]	X_La62Al14Cu24_Pd_[¦Ìm]	Y_La62Al14Cu24_Fn_[mN]	X_La62Al14Cu24_Pd_[¦Ìm]	Y_La62Al14Cu24_Fn_[mN]	X_La62Al14Cu24_Pd_[¦Ìm]	Y_La62Al14Cu24_Fn_[mN]	X_La62Al14Cu24_Pd_[¦Ìm]	Y_La62Al14Cu24_Fn_[mN]	X_La62Al14Cu24_Pd_[¦Ìm]	Y_La62Al14Cu24_Fn_[mN]	X_La62Al14Cu24_Pd_[¦Ìm]	Y_La62Al14Cu24_Fn_[mN]	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.00222105927820275	0.00154162800708038	0.0011437853084962	0.00359029201035863	0.00156539882076832	0.002963122683699	0.00127798136995242	0.003134365975994	0.00221735593454706	0.00219527636122974	0.00233520061345239	0.00154412911739146	0.00210753707601531	0.00216900651751148	0.00142423077973055	0.00265300501400767	0.00223666097590988	0.0024124873325584	0.00122042487299349	0.00344393522040621	0.00130120216309345	0.00284758412025237	0.000910452582067814	0.00406364032440292	0.00149623916527074	0.00334370254256872	0.00200210463058797	0.00147960410934425	0.0017982712042692	0.00254573011902884	0.00205160140694026	0.00218645426304157	0.0023244540429458	0.00214420641716148	0.002159263296553	0.00331878238892378	0.00181624454238647	0.0024375530053487	0.00565452335513262	-0.00194779922665305	0.0017883862261081	0.00362483097951265	0.00211146601114649	0.00153318016594421	0.00179941669024816	0.00245955413588694	0.00252165778565391	0.00143655045119666	0.00129974045339886	0.00382226044201731	0.00189170855341917	0.00267804703993686	0.00135957004583313	0.00351910404444271	0.00254104325672677	0.000849464373129715	0.00159576402186531	0.00171810089366218	0.00101926830577487	0.00502631131667469	0.013796642303164	0.0812306204878151	0.0012321802927682	0.00412404895962542	0.00141644327916569	0.00322096078142617	0.00121571613869623	0.00278280627269007	0.00147510809082704	0.003196928294568	0.00146329848472148	0.00305867783050745	0.00302920226786972	0.000972177030443187	0.00184210935613895	0.00299540610609976	0.00201993176124586	0.002833501504959	0.00168942691951784	0.00186866955337846	0.0018389738072998	0.00251857988448108	0.00152088540473268	0.00244487807532886	0.00180326187055717	0.00266127595843275	0.0442296862622592	0.422421924612934	0.00139896879689336	0.00288805299458028	0.00143439368037227	0.0033421527636705	
0.0043707150674246	0.00316480312423784	0.00282151540688975	0.00646659797192877	0.00358242457326742	0.00529813380427209	0.00267641406664653	0.00683594739075441	0.00446085431283574	0.00444584272174353	0.00357004000498374	0.00408829490560755	0.00379109491670233	0.00588504525936459	0.00235271565099826	0.00601895743390375	0.00479304212649339	0.00449711275463668	0.0022543537764691	0.00738342224795647	0.00319232175120612	0.0068678106266229	0.00221650162961143	0.00846458857080991	0.00314154728213364	0.00529546716593315	0.00327643414192542	0.00475276806518326	0.00319620710003088	0.00666784731199945	0.00332536845491864	0.006536778217763	0.00420064558625556	0.00537825482672453	0.00411440730332655	0.00601485197501494	0.0037571920320463	0.0061271145387014	0.00986639757592602	-0.00199026171327257	0.00301427017817235	0.00704765773838801	0.00398390046664167	0.0036845818653559	0.00316095492072795	0.00676044250844157	0.00266217542765151	0.00597692150027911	0.00259089337212851	0.00711787072602994	0.00416718873126262	0.005707500988075	0.00286104020336421	0.00684882947309846	0.00451530315379417	0.0033805188863478	0.00243991850035557	0.00483164307995346	0.00241968159598868	0.00938558833681512	0.0441255613191208	0.292696932514623	0.00241078190509417	0.00743302699612977	0.00255742218895616	0.00759039867589219	0.00291237262797788	0.00511535448172774	0.00381712733268663	0.00476687614632707	0.00409641066413921	0.00408230315479686	0.00475767324569738	0.00348298619256141	0.00346213109333253	0.00542618701422071	0.00296184823256372	0.00830765890545155	0.00346643835765968	0.00555454217639598	0.00360414954811576	0.00632711423311119	0.00286449966983436	0.00636021620070466	0.00364655019703911	0.00750939908159957	0.132831500674676	1.55497065751953	0.00369482772134787	0.00449261257506605	0.00284631492094409	0.00858250091531542	
0.00611896956359434	0.00565552700631611	0.00476836294985959	0.00799904553992551	0.00542798264055621	0.00791247983832241	0.00380224631420949	0.0103316446806641	0.0063796663424924	0.00666380187975811	0.00458819360531243	0.00661924027946661	0.00474747300938019	0.00998840503449677	0.00332662463935932	0.00989109092501864	0.0060161814338157	0.00808154580040478	0.00348134215432751	0.0111306748464919	0.00519095478029707	0.0112311148891115	0.00379567819101896	0.0123482471782383	0.00460358847082726	0.00728468477933768	0.00389556356240214	0.00939123447965555	0.0045623129105036	0.0107676709718991	0.00535761959150564	0.00895831138419557	0.0058856396736955	0.00837424664738441	0.00706973208581719	0.00679743574893174	0.00577597560879667	0.00907377718806952	0.00972384644845729	0.00470927421162093	0.0041275576916126	0.010935174422158	0.00619102364249004	0.00588929100780448	0.00418811484720215	0.012451333395567	0.00365893244929161	0.0110161349081803	0.00425188312473306	0.0114148510000367	0.00633878927036265	0.00843564299380612	0.00493704895060961	0.00825171407001334	0.00600108738858636	0.00668163525102344	0.00352163945223329	0.00833536575073036	0.00353442130125821	0.0146673439612756	0.0744510631102047	0.561072857361552	0.00429411422438341	0.00974515523109313	0.00400074395974356	0.0103273809697047	0.0048556895321503	0.00784813854819623	0.00546209732633783	0.007826136053416	0.00570757090557523	0.00645230799185326	0.006158635761938	0.00689747652339628	0.00516426227470787	0.00758149654217407	0.0040164099499934	0.0128290515294935	0.00511748968401147	0.00919136757146591	0.005145479244556	0.0112391202610963	0.00416874493162937	0.0106091278630164	0.00482917327516423	0.013804717381447	0.209753282040083	2.97703077788132	0.00495854787382377	0.0092674740844954	0.00414762189347557	0.0149294639598553	
0.00776581692366353	0.00813101685286326	0.00658113448285365	0.0110606410292977	0.00669113464842612	0.011547577193541	0.00520257157479651	0.0132974812964242	0.00789615706735903	0.00985448012703239	0.00633057002011115	0.00877362212286822	0.0061660091359051	0.0127445230959256	0.00400534956652351	0.0142935216477191	0.00726103340597815	0.0105443227306144	0.00526334238719906	0.0149508088899974	0.00744110727649704	0.0151526048363579	0.00486367527490068	0.0166664441436402	0.00583950838062872	0.0103923516301346	0.00460287741258249	0.0121215301687382	0.00619249219632606	0.0139411197523613	0.00712998741380764	0.0113318705263777	0.00712018752597117	0.0115600681931819	0.00925345478997454	0.00881197551262029	0.00788933113588879	0.0121754286411946	0.0103351669580456	0.010129799621592	0.0057032998212102	0.0150570997117557	0.00824927391148816	0.00752549077059372	0.00594857899672488	0.0156273087521908	0.00655132611834149	0.0135585071729297	0.00575589255455226	0.0143629579269226	0.00762238245619659	0.0122952691143763	0.0059184510875765	0.0122256745831022	0.00749002806658551	0.0102506341724355	0.00420130624738409	0.0124140636687006	0.003930397988083	0.0202973851082692	0.10032256575706	0.845126985827017	0.00636747633840056	0.0126032676615132	0.00576844727001595	0.0138713251322624	0.00652566990838883	0.0109146162048956	0.00605485344821559	0.0124441242861558	0.00675535495023662	0.0105383255228357	0.00768680626690796	0.00925092855766662	0.00663798097158416	0.0110299437655815	0.00614277901753015	0.0153982939044358	0.00675726020412434	0.0119494173995496	0.00681468203374436	0.0152602580811147	0.0055370660130859	0.0152936092502446	0.0058669570195536	0.0201230568100923	0.268499486775927	4.46282642127094	0.00539120375665159	0.0141771736340263	0.00568091394792984	0.0206371031911184	
0.00954992146298209	0.0113717173063591	0.00827075523860881	0.0155384215654717	0.00803346925484412	0.0146170816484642	0.0069255444424966	0.0162197094622951	0.00932279993345477	0.0133977257976923	0.00852919622380946	0.011819792582831	0.00778931171044143	0.0164729818968362	0.00520099756050987	0.0176689400880216	0.0099865364826734	0.0107960999559368	0.00697821299768015	0.0193148225583197	0.00875298318758022	0.020402073400439	0.006722528109854	0.0204835823117404	0.00792260782834602	0.0136478077249711	0.00611553758040589	0.0149642539495351	0.008075055167132	0.0171255224864915	0.00789804365004269	0.0159997572740655	0.00867417367468119	0.0149630734254683	0.0105208221701025	0.0112206120447943	0.00887153586527822	0.0172184119044556	0.0130823894783154	0.0114658700124041	0.00742938109910935	0.0187275404841538	0.00933792201499828	0.0122435366034493	0.00796085825534343	0.0176787867319427	0.00814484121737048	0.0173022054663394	0.00689294224440605	0.0170973336090436	0.00856862561428298	0.0177035572737163	0.00750837128327759	0.0155386180163179	0.00906452912053849	0.0131408954200468	0.005969761541703	0.0152593776902852	0.00629131923435863	0.0283886497685955	0.121285453654875	1.14126810913005	0.00740540224845499	0.0174999505234906	0.0077737864583084	0.0171114034914118	0.00784946027030935	0.015253887980526	0.00773529468411038	0.0154938963449665	0.00841256846482371	0.0139441611024996	0.00825074306748076	0.0132975613319542	0.00807453654342224	0.015490549404623	0.00794954622037312	0.0193860350805914	0.00819782071952247	0.0150141124467182	0.00862968292270279	0.0187656614980206	0.00643563642428425	0.0199446466998877	0.00676587606244459	0.0258352507906055	0.320500729198476	5.99104520290317	0.00730023467426195	0.0164355725625398	0.00636470765751642	0.0266476550753876	
0.0109683187831509	0.0155158988397467	0.0092959687370058	0.0202299624502397	0.00927202136928376	0.0186875431828064	0.00823045914623591	0.0205954119559694	0.0106937367975309	0.0192092220430073	0.0100701930721106	0.0155128065579076	0.00936053485598573	0.0203100125321088	0.00729931735698837	0.021061271490995	0.011848695812182	0.0133806072892286	0.00824352817103601	0.024055632587732	0.00968852831380211	0.0259250524742038	0.00804496670143749	0.0246981369038299	0.00942121648889012	0.0183076618158345	0.00768585603556111	0.0187532414389632	0.00964469271161462	0.0209024064210032	0.00912677333663785	0.0205238165364464	0.010749649301596	0.0171496877595698	0.0124637085833288	0.0137108320668317	0.00943123482852748	0.0227161561394236	0.0154659944233266	0.0132726134387222	0.00872631131266604	0.0233673581803151	0.0103914475554789	0.0180317516044941	0.00892061701477815	0.0220815303208057	0.00850080845745572	0.0228490442229772	0.00793500511954317	0.0215516273551546	0.010119359027579	0.0218016019620637	0.00911192637547223	0.0189268021236482	0.0114911070572636	0.014953969383936	0.0079052502372365	0.0189671982384034	0.0190892405266472	0.101482581794856	0.139514800315235	1.43568453952213	0.0082793300558059	0.0230134563008917	0.00902963585016488	0.0210130846449944	0.00932132534167227	0.019048696235769	0.00962194712909559	0.0187108189701086	0.0110507715877758	0.0163542964818709	0.00990138227231467	0.0165081284084222	0.00956118812183996	0.0192131765257828	0.00868843105171202	0.024729665445664	0.00919716764502184	0.0191653916764213	0.00985888818698974	0.023081417379759	0.00722278906652862	0.0223686245879625	0.00753144999041193	0.0280413792421014	0.368241458781768	7.53957659458424	0.00953886211869289	0.0196470054779227	0.00698306872813798	0.0298746730912399	
0.0118417286583716	0.0193875157378956	0.0102022630267033	0.0249492647499661	0.0101827712655322	0.0243255151232227	0.00944027378406949	0.0255498077110013	0.0116126874634621	0.0246940205310052	0.0110438210578942	0.0199212290314187	0.0104376494580209	0.0244024983891031	0.00898380148783624	0.0246093556732385	0.0125246218559775	0.0184870305334092	0.00908026399180931	0.028596175531305	0.0112185161936427	0.0305683865040888	0.00814979613386033	0.0314176689782868	0.0101442804131978	0.0226987893389182	0.00884595935542768	0.0228724664389195	0.0105967977118647	0.0245356920628619	0.0109907949351313	0.0249492647499661	0.0120205530441513	0.0205744881218542	0.0142607658875622	0.0170268786958225	0.0104769219185974	0.0273080887144373	0.0158399177345731	0.0188839446321298	0.00992199000957664	0.0287094840138488	0.0116837543554119	0.0234309702830988	0.00967857794183308	0.0276580913628857	0.00964504546467736	0.0264698224942913	0.0089844093453466	0.0253519908037721	0.0117917502738243	0.0257704838569791	0.0103121478647112	0.0243157398746323	0.0130407739410454	0.0183486254552566	0.00897047285331725	0.0237452320652019	0.0462657618609796	0.288828164153745	0.157070542281329	1.73133962887961	0.00945724001013918	0.0286915405937298	0.0100511333623833	0.0264846990984216	0.0103831138807372	0.0240614488060736	0.0109188777426251	0.0233466369361351	0.0125957221980009	0.0214369528116336	0.0119276174892417	0.019971702346991	0.0104900842727972	0.0230138055468406	0.00977128568946585	0.0282652131535338	0.0097554673617669	0.0227394437501564	0.0104659916471257	0.0251977023109022	0.0114073061602103	0.0503338613919954	0.0120261585191781	0.0554692061115713	0.412199848315299	9.0992661615018	0.0102758661113475	0.0233353919441765	0.0124673275925788	0.0593752601154724	
0.0128242158938241	0.0238791751625594	0.0113824547591854	0.0305469351630717	0.0115215086097541	0.0292615900178523	0.0107262955117565	0.0301351196196479	0.0127075672335553	0.02848629311514	0.0120549127188793	0.0248594648853571	0.0116533649789853	0.0294652185959498	0.00999635561812578	0.0285653191060235	0.0134310059429986	0.0223083596528961	0.0100056660361889	0.033231818874357	0.0121595648764098	0.0356254823959669	0.00993130909166541	0.0355630801484528	0.0110609388137815	0.0260951370703038	0.00990726095721234	0.0282071182727227	0.0116169141185425	0.0279022047314677	0.0119144876300515	0.0307622452905639	0.0127840625064492	0.0252353790366283	0.015394737747473	0.0209809758455681	0.0117051593606041	0.0322071203179488	0.0163101325965673	0.0256441545941558	0.0109848581296774	0.0342951099891908	0.012820741462204	0.0290649131621776	0.0106025161053728	0.0332901224841923	0.0111370701748272	0.028757077869332	0.010247754178099	0.029332576075954	0.012873741745077	0.0311164861841213	0.011543243422789	0.0301921885904841	0.013608487383451	0.023282364767603	0.0101878767798967	0.0278400535044794	0.0746879961369394	0.529143981444563	0.173640317764709	2.03001068983642	0.0104578259813818	0.034094782876704	0.0114187787600335	0.0311048082727052	0.0111804353486146	0.0293890611512194	0.0119536893689185	0.0275538428113833	0.0129442454842291	0.028663753712921	0.0130743921664015	0.0255006222398656	0.0112442502704479	0.0256123991334044	0.0111990352367203	0.0321103310153104	0.0144963872515109	0.0482368354649948	0.014844462598142	0.0508480855792273	0.0531995719527146	0.440670101840119	0.0541526460082814	0.455076464490127	0.452257550032085	10.6644272482853	0.014658825834907	0.0541202581858885	0.0592586096542251	0.499947423932777	
0.0135299156109995	0.0291083801856475	0.0128720710786057	0.0364544667683748	0.012803263422298	0.0355887915624507	0.0117273240893243	0.0356597721635845	0.0144424513808645	0.032803773398751	0.0134798699071165	0.0293433317597863	0.0126280590708221	0.0345812642936181	0.010671783587696	0.0341050110536343	0.0150775620564878	0.0254225785032134	0.0114544963551875	0.0400004745743128	0.0131285091416354	0.0413963751617445	0.0126228489538252	0.0389339620293984	0.0117504300514866	0.0319738267809943	0.0109396507671816	0.0338951196953178	0.012797022480921	0.032059839509845	0.0129588510513066	0.0349484454771777	0.0137576897653646	0.0296510701914508	0.0164667992351307	0.0255823967236073	0.0125495200993882	0.0400792695535531	0.017925129193937	0.0305778616194418	0.012266122026359	0.0387102599946915	0.0140047141937263	0.035506118043239	0.0118330709106403	0.0400266257289782	0.0124406580607597	0.0350322745093531	0.0116097156023704	0.0384964732707523	0.0147195320820282	0.0382293455945825	0.0125329163736256	0.0355862704432571	0.0153943988766468	0.0311908937611286	0.0111728588699173	0.0323942716097386	0.0992221682103581	0.7828256449263	0.18880872331023	2.32934147639068	0.0122717525948313	0.0460692041034071	0.0122998731480935	0.035438346594008	0.0141296661822448	0.0410889241303921	0.012374351267054	0.0318953410299379	0.0138071593445481	0.0329036286363052	0.013929399057295	0.0315031414673103	0.0149826999000038	0.046359543902253	0.0120519099598907	0.0366971599610474	0.058718559367558	0.4025548105137	0.0574486168892053	0.425897154635047	0.138787937355455	1.48292618410384	0.137204372729788	1.52974437524847	0.489534096461309	12.2333406335438	0.061330264029696	0.490324344712736	0.152663831791896	1.68567764191464	
