X_Mg59.5Cu22.9Ag6.6Gd11_Pd_[¦Ìm]	Y_Mg59.5Cu22.9Ag6.6Gd11_Fn_[mN]	X_Mg59.5Cu22.9Ag6.6Gd11_Pd_[¦Ìm]	Y_Mg59.5Cu22.9Ag6.6Gd11_Fn_[mN]	X_Mg59.5Cu22.9Ag6.6Gd11_Pd_[¦Ìm]	Y_Mg59.5Cu22.9Ag6.6Gd11_Fn_[mN]	X_Mg59.5Cu22.9Ag6.6Gd11_Pd_[¦Ìm]	Y_Mg59.5Cu22.9Ag6.6Gd11_Fn_[mN]	X_Mg59.5Cu22.9Ag6.6Gd11_Pd_[¦Ìm]	Y_Mg59.5Cu22.9Ag6.6Gd11_Fn_[mN]	X_Mg59.5Cu22.9Ag6.6Gd11_Pd_[¦Ìm]	Y_Mg59.5Cu22.9Ag6.6Gd11_Fn_[mN]	X_Mg59.5Cu22.9Ag6.6Gd11_Pd_[¦Ìm]	Y_Mg59.5Cu22.9Ag6.6Gd11_Fn_[mN]	X_Mg59.5Cu22.9Ag6.6Gd11_Pd_[¦Ìm]	Y_Mg59.5Cu22.9Ag6.6Gd11_Fn_[mN]	X_Mg59.5Cu22.9Ag6.6Gd11_Pd_[¦Ìm]	Y_Mg59.5Cu22.9Ag6.6Gd11_Fn_[mN]	X_Mg59.5Cu22.9Ag6.6Gd11_Pd_[¦Ìm]	Y_Mg59.5Cu22.9Ag6.6Gd11_Fn_[mN]	X_Mg59.5Cu22.9Ag6.6Gd11_Pd_[¦Ìm]	Y_Mg59.5Cu22.9Ag6.6Gd11_Fn_[mN]	X_Mg59.5Cu22.9Ag6.6Gd11_Pd_[¦Ìm]	Y_Mg59.5Cu22.9Ag6.6Gd11_Fn_[mN]	X_Mg59.5Cu22.9Ag6.6Gd11_Pd_[¦Ìm]	Y_Mg59.5Cu22.9Ag6.6Gd11_Fn_[mN]	X_Mg59.5Cu22.9Ag6.6Gd11_Pd_[¦Ìm]	Y_Mg59.5Cu22.9Ag6.6Gd11_Fn_[mN]	X_Mg59.5Cu22.9Ag6.6Gd11_Pd_[¦Ìm]	Y_Mg59.5Cu22.9Ag6.6Gd11_Fn_[mN]	X_Mg59.5Cu22.9Ag6.6Gd11_Pd_[¦Ìm]	Y_Mg59.5Cu22.9Ag6.6Gd11_Fn_[mN]	X_Mg59.5Cu22.9Ag6.6Gd11_Pd_[¦Ìm]	Y_Mg59.5Cu22.9Ag6.6Gd11_Fn_[mN]	X_Mg59.5Cu22.9Ag6.6Gd11_Pd_[¦Ìm]	Y_Mg59.5Cu22.9Ag6.6Gd11_Fn_[mN]	X_Mg59.5Cu22.9Ag6.6Gd11_Pd_[¦Ìm]	Y_Mg59.5Cu22.9Ag6.6Gd11_Fn_[mN]	X_Mg59.5Cu22.9Ag6.6Gd11_Pd_[¦Ìm]	Y_Mg59.5Cu22.9Ag6.6Gd11_Fn_[mN]	X_Mg59.5Cu22.9Ag6.6Gd11_Pd_[¦Ìm]	Y_Mg59.5Cu22.9Ag6.6Gd11_Fn_[mN]	X_Mg59.5Cu22.9Ag6.6Gd11_Pd_[¦Ìm]	Y_Mg59.5Cu22.9Ag6.6Gd11_Fn_[mN]	X_Mg59.5Cu22.9Ag6.6Gd11_Pd_[¦Ìm]	Y_Mg59.5Cu22.9Ag6.6Gd11_Fn_[mN]	X_Mg59.5Cu22.9Ag6.6Gd11_Pd_[¦Ìm]	Y_Mg59.5Cu22.9Ag6.6Gd11_Fn_[mN]	X_Mg59.5Cu22.9Ag6.6Gd11_Pd_[¦Ìm]	Y_Mg59.5Cu22.9Ag6.6Gd11_Fn_[mN]	X_Mg59.5Cu22.9Ag6.6Gd11_Pd_[¦Ìm]	Y_Mg59.5Cu22.9Ag6.6Gd11_Fn_[mN]	X_Mg59.5Cu22.9Ag6.6Gd11_Pd_[¦Ìm]	Y_Mg59.5Cu22.9Ag6.6Gd11_Fn_[mN]	X_Mg59.5Cu22.9Ag6.6Gd11_Pd_[¦Ìm]	Y_Mg59.5Cu22.9Ag6.6Gd11_Fn_[mN]	X_Mg59.5Cu22.9Ag6.6Gd11_Pd_[¦Ìm]	Y_Mg59.5Cu22.9Ag6.6Gd11_Fn_[mN]	X_Mg59.5Cu22.9Ag6.6Gd11_Pd_[¦Ìm]	Y_Mg59.5Cu22.9Ag6.6Gd11_Fn_[mN]	X_Mg59.5Cu22.9Ag6.6Gd11_Pd_[¦Ìm]	Y_Mg59.5Cu22.9Ag6.6Gd11_Fn_[mN]	X_Mg59.5Cu22.9Ag6.6Gd11_Pd_[¦Ìm]	Y_Mg59.5Cu22.9Ag6.6Gd11_Fn_[mN]	X_Mg59.5Cu22.9Ag6.6Gd11_Pd_[¦Ìm]	Y_Mg59.5Cu22.9Ag6.6Gd11_Fn_[mN]	X_Mg59.5Cu22.9Ag6.6Gd11_Pd_[¦Ìm]	Y_Mg59.5Cu22.9Ag6.6Gd11_Fn_[mN]	X_Mg59.5Cu22.9Ag6.6Gd11_Pd_[¦Ìm]	Y_Mg59.5Cu22.9Ag6.6Gd11_Fn_[mN]	X_Mg59.5Cu22.9Ag6.6Gd11_Pd_[¦Ìm]	Y_Mg59.5Cu22.9Ag6.6Gd11_Fn_[mN]	X_Mg59.5Cu22.9Ag6.6Gd11_Pd_[¦Ìm]	Y_Mg59.5Cu22.9Ag6.6Gd11_Fn_[mN]	X_Mg59.5Cu22.9Ag6.6Gd11_Pd_[¦Ìm]	Y_Mg59.5Cu22.9Ag6.6Gd11_Fn_[mN]	X_Mg59.5Cu22.9Ag6.6Gd11_Pd_[¦Ìm]	Y_Mg59.5Cu22.9Ag6.6Gd11_Fn_[mN]	X_Mg59.5Cu22.9Ag6.6Gd11_Pd_[¦Ìm]	Y_Mg59.5Cu22.9Ag6.6Gd11_Fn_[mN]	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.00234431985145964	0.00130121946499013	0.00217402631900179	0.00120771068116348	0.000985803811304934	0.000884479007990165	0.000644050231573028	0.000993925776213673	0.00112822513790502	0.00457789816293721	0.00186177930451409	0.00183728380220572	0.00118452135555724	0.00322870149046529	0.000628492493562647	0.00195720612990669	0.000924542042194923	0.00414071817772777	0.00175636216178772	0.0032685910166957	0.000808896191521139	0.00326721404178262	0.00171865050012198	0.00294490550568776	0.00194882313571289	0.0113350974134263	0.00243821238193898	0.00142919661844793	0.00266657235261059	0.000661197159815528	0.00374012327480141	0.0176531130619731	0.00108037476524711	0.00332316842691476	0.00214476359719819	0.00279662331554313	0.00253257977566703	0.00135601481286674	0.00235079021083263	0.00253599170497216	0.00184695022437496	0.00233519574798878	0.00309593333396862	-0.000133613163959295	0.00198015102550336	0.00273692590514364	0.00293887164530698	0.00160490882643466	0.00266674839713384	0.00117448866027508	0.00302195682505783	0.000667028839566306	-0.000182579539353101	0.00453224835228672	0.00205746257935123	0.000418149264226097	0.00212933670491818	0.00245144644575308	0.00193755191736771	0.0103604429195332	0.0127171615050962	0.112168776597262	0.0170168534756732	0.136622308550647	0.00141347964792612	0.00329869528989451	0.0265209955125066	0.176052037937423	0.0022967268097754	0.00202065338678349	0.00178479397996237	0.000893767676938184	0.107741754767263	0.852088578085864	0.0335880681108119	0.366332173933796	0.00140557528184067	0.00276156957241236	0.00171560939339332	0.00379739485805189	
0.00375285650080747	0.00400769185098607	0.00362231757258355	0.00199833711634605	0.00184066702514242	0.00150255884503201	0.00111270803553001	0.0028610855684589	0.001649011540412	0.00584479057102877	0.00337601890820759	0.00480180619818427	0.0025854533034985	0.00694887479503628	0.00112597222798253	0.00436962979783898	0.00156066961328487	0.00705419882397247	0.00220787383361409	0.00606681504283793	0.00341322507007812	0.00563301610402174	0.00339479269945684	0.0057840447406616	0.00548863149033863	0.0244278532811948	0.00559700588441639	0.00251898085793868	0.00602158171160543	0.00182724025269109	0.00917317476652478	0.0385417097160805	0.00421653096650581	0.00341228889901379	0.00436011508454399	0.00457274087347576	0.00226174808465946	0.00619991674394946	0.00483032037316464	0.00460747470186038	0.00524422651804164	0.00374692950055792	0.0042417418120792	0.00368861352727967	0.00316625686353481	0.00603695997117557	0.00607585488911649	0.00251855078065201	0.00611514495992643	0.000700565545606573	0.00587875954872005	0.00214218370104081	0.000626338794180658	0.0075780422814608	0.00376098914779289	0.00226200871281331	0.0059657113264252	0.00119184909431794	0.0138161502824207	0.102155818844962	0.041494057424527	0.40064597403822	0.0539868393407499	0.496516300763626	0.00313198096308705	0.00546171369457394	0.079518033118712	0.654819674130247	0.00376483931508589	0.00468759731592847	0.00348776363632823	0.00375927429893241	0.169804711172829	1.95083041955498	0.100886181752807	1.3435087765507	0.00327155104575873	0.00583525770276492	0.00308198713259666	0.00745166799865191	
0.00708086792460597	0.00457841248216663	0.00461092366822143	0.00214481395959341	0.00238824324317269	0.0031722336955984	0.00152099935559594	0.00357910613555283	0.00207856927296241	0.00762994168465768	0.00651389605734486	0.00587134190334386	0.00516493251245996	0.00770032929527406	0.00174097736046301	0.00704997785926203	0.00255665795947033	0.0106852198241314	0.0025697759857593	0.00910795235936011	0.0079662334065758	0.00485453687949909	0.00603653220873528	0.00693636833398623	0.00948398294974858	0.0386580286259442	0.00880568374168738	0.00271356769488797	0.00894943489569214	0.0044773967294281	0.0145639263413135	0.0640619115569559	0.00771826304523635	0.00391134498907733	0.00825942733347203	0.00376195185120726	0.00700691750226444	0.00511818880814436	0.00640097747299003	0.00728375231993897	0.0085886030710171	0.00437540508892093	0.00520085309136623	0.0077449483358376	0.00432455658173463	0.0100023075698477	0.0106066411756205	0.00113436903189605	0.0079048085177785	0.00292076296997591	0.00905663826682664	0.00337369949539781	0.00410541189338551	0.00729321765822442	0.00630741533537232	0.00385184675800806	0.00940678545349478	0.00118270685400995	0.0409121560718043	0.339776243213715	0.0712330919835608	0.762950316271311	0.0883305346833193	0.953152876011285	0.0068905530112918	0.00460987735937466	0.123341348766521	1.26877402884888	0.00646686208905957	0.00554751542066383	0.00556926828908323	0.00704652268905411	0.213313837907677	3.06913923097206	0.158460806156462	2.56706250542059	0.00467496620255134	0.00973444684098308	0.00434414529995062	0.011930223424275	
0.0112334977718817	0.00353439083066403	0.00545957317867853	0.00350903502907764	0.00268667768446234	0.00424418683756047	0.00173701990462578	0.00569727463013399	0.002519506784467	0.00930414127115048	0.0100044889226997	0.00634943050354863	0.00796153933933083	0.00859421065904457	0.00214360925459739	0.00979257537309654	0.00335801181400108	0.0143424906591261	0.00342252397429958	0.0126883909045878	0.01162149603329	0.00482042628232926	0.00803463496184037	0.00978122226496039	0.0129058043108282	0.0538250780564696	0.0116509045512888	0.00404728840624958	0.012492481973334	0.0124677638713215	0.0192922062388229	0.0909037037241842	0.00914240046551614	0.00749794445112216	0.0127294519169783	0.00290708507980561	0.0108460529410998	0.00580899593081176	0.00739152468147937	0.0107564680440684	0.0117971400643627	0.00370489447642794	0.00733021980233432	0.00989633430383386	0.00533647354622805	0.0135087187068354	0.0122703935307609	0.00281642847122825	0.0093569720618393	0.00591574616105943	0.012076008893852	0.00489160424380394	0.00714599177538419	0.0081760914081422	0.00956369758190853	0.00548726049003863	0.0109023407669692	0.00454371707993134	0.0674915593726198	0.64342999612337	0.095008774714253	1.14594256242917	0.116014280531288	1.4297245846447	0.00999699970338403	0.00620831058384027	0.156390703554363	1.90633170536215	0.00900538928034646	0.00654652981949223	0.00741503425831188	0.00985558607253722	0.250086963599483	4.21529179207992	0.202322076737541	3.83829144952785	0.00533569176858993	0.0145052847460429	0.00553297290292621	0.0175711857831287	
0.0119490463464536	0.00804570261591036	0.00588737429719675	0.0046704324232372	0.00301836898940843	0.00471307044232581	0.00154755828542691	0.00629074536070413	0.00269127587399202	0.0105582366346486	0.0116408900061325	0.00869579575543936	0.00935728761906874	0.0118551205386013	0.00222404620258881	0.0125996451442881	0.00383561195433238	0.0177357570226084	0.00394463135919842	0.0166616165459925	0.0136014385062034	0.00509540471639192	0.00935017524638174	0.0124930078050649	0.0159573027540379	0.0705778605280482	0.0137110597201767	0.00709812002633751	0.0181191186659477	0.0279068613441196	0.0234603757633311	0.116361848925516	0.0104026425668181	0.0106735296345374	0.0154826650529464	0.00345415430238995	0.0111485426256409	0.009529514843353	0.00878632250112071	0.0144270318256192	0.0145856297470658	0.00391569419253463	0.00911752431527733	0.0129696131615901	0.00622104212875241	0.0172063638287135	0.0135695597383	0.00555993729871064	0.0107826446724353	0.0100665997472623	0.0138260988325527	0.00721779690416749	0.00827004537072105	0.0112684169030383	0.011907710047577	0.00758860105969952	0.0122318410328669	0.00862736810581221	0.0885047263990171	0.962013023817992	0.115441150215418	1.5380767287529	0.140563546721146	1.92127405504233	0.0114823122051009	0.00967928417095124	0.185373352063567	2.5610863688142	0.0117651573990319	0.00748213788870346	0.00898277552270927	0.0121316401113629	0.281965895047903	5.37029797082283	0.240851167244909	5.13947894396174	0.00712233608896568	0.0196330156310845	0.00723328958743081	0.0219553065593628	
0.0132624486555883	0.0116736113253476	0.00598211813821726	0.0053802511675001	0.00328241571706148	0.00632790913144279	0.00191246427739337	0.00657832575275599	0.00288310069466723	0.0136175920386767	0.0132142512663157	0.0116153108987437	0.0107903122038323	0.0152458088257871	0.00261628783532059	0.0146529657602182	0.0045663249248262	0.0206697358594681	0.00401641552609728	0.0195945003512832	0.0147709515679647	0.00834041799355874	0.0105794101742026	0.0165121283659306	0.0187227394934432	0.0875868367310114	0.0154540974095659	0.00946096623093626	0.023136584033423	0.0482659029142828	0.0272559421521493	0.143470537757271	0.0125640235222008	0.0132793546131315	0.017394484657853	0.00511052142711208	0.0125655493068548	0.0116639287315256	0.0104928574417544	0.0180194838857919	0.0171923462958892	0.00514216126835506	0.0101158660300305	0.0180780527554287	0.00751505115789259	0.0214994478276029	0.0187331449553294	0.00399585386851006	0.0121010770016941	0.0134165159573384	0.0157493154386513	0.00859099013845856	0.00910429540604414	0.0156557099966414	0.0138224084475682	0.0100155951731227	0.0142608943735232	0.0111945459278795	0.106719311843879	1.28808103248162	0.134390808407063	1.93489405042064	0.160978194546411	2.42019913421929	0.012730013873735	0.0132036741983496	0.210184718095962	3.22378614477292	0.0142738490389208	0.00897715065655328	0.0107246258577581	0.0149993458914416	0.310969474321296	6.53424577717992	0.276022904129369	6.45839555974521	0.0098476110156377	0.0221662929492482	0.00864465802803083	0.0236287076095454	
0.0164949256037049	0.0126196494793034	0.00619189207721387	0.00629989078424342	0.00331837912945162	0.00821792998142594	0.00230632179699691	0.00838893498612038	0.00338825114180263	0.0143562017458514	0.0148191363992903	0.0153455077439468	0.0133077494201423	0.0179607909553994	0.00305772465850599	0.0181552587053918	0.0053795900153125	0.0234489587232034	0.00450223407848972	0.0226581694884769	0.0162287914033517	0.0114159069233353	0.011559170696602	0.020986077201108	0.0211862353437743	0.104482286172713	0.018056500080387	0.0106252148908505	0.0273960372734662	0.0703815970376959	0.0303557339688706	0.170690461423748	0.0150659648194553	0.0140656909620096	0.0194224644828936	0.00704417164536169	0.0157452832136232	0.0125334520093502	0.0120452220789136	0.0217214472883089	0.0208379720914146	0.00597941857470764	0.0111960507616774	0.0233015570659968	0.00943139346195091	0.0279510318617079	0.0225450862073379	0.00378011809751762	0.0140283402747838	0.0152503009335926	0.0178880405534472	0.0103815450146014	0.0120528870388041	0.0178314249467545	0.0168186626790851	0.0107763055152356	0.0167869171171194	0.0121825154235742	0.123126907887599	1.61920449267078	0.152263539260169	2.33484119786704	0.179570973450918	2.91836076175198	0.0144067871895206	0.0165528591747202	0.232524872115477	3.8876349399035	0.017059313220983	0.00988437885443836	0.0127774911771183	0.0181890964541641	0.337471456356182	7.70306160640331	0.30806793456103	7.78959119743048	0.011939634704791	0.0225813317417419	0.0127826013989878	0.0557626090884273	
0.0175297807876098	0.0163912792631725	0.00645786742685973	0.00681840369353784	0.00355275196784637	0.00871214574091655	0.00238297771975493	0.0103527322238178	0.00384517698176256	0.0153086900359258	0.0165659333355853	0.0187694097528823	0.0158914922284906	0.0215509866161676	0.00323270001940388	0.0214526916167002	0.00602011485232574	0.0255907786263808	0.00515272489035086	0.025184658338509	0.0188349823847315	0.0133505748661078	0.012355372864172	0.0261380088295197	0.0234014603282111	0.121165852462795	0.0212783501851544	0.0109740588431039	0.0316434989779045	0.0919045989579665	0.0333139420936516	0.197209302951652	0.0168250929077975	0.0169598575796848	0.0217366767878994	0.00928760324765263	0.0173681802904923	0.0157694139956749	0.0135218181947521	0.0259542827230357	0.0245082250231366	0.00610888405933078	0.0126346131101145	0.02815802753114	0.0136089727539961	0.0570821821556275	0.0239954367005364	0.00671571583486953	0.0155696259900631	0.0183283819231461	0.0194695670661807	0.0135030580120804	0.0164768587878974	0.0182100766769481	0.0192547622714387	0.0128697671042476	0.0188209187274219	0.0152892054771078	0.137971764705527	1.95260119474129	0.168065792427512	2.73491826480643	0.197150933284592	3.41748956773247	0.0163233818812729	0.0204805664274526	0.253516767818212	4.55308165166558	0.0206553336228578	0.0111009589275123	0.0145664336494606	0.0207989386706651	0.36292273654042	8.86968463672892	0.337618927998036	9.12281199595806	0.0166372912982477	0.0509754384782888	0.0511416386868439	0.517718389312608	
0.018510787197611	0.0197750359505049	0.00681067038726403	0.00762825138883472	0.00392990213431172	0.00933976617692683	0.00245718466304067	0.0117952198561456	0.00395907148223833	0.0177795387312302	0.0185037740562063	0.0216943470759674	0.0177329136616139	0.0268781492162048	0.00354850865307499	0.0238604513960234	0.00665212725219092	0.0287287098214364	0.00552403141654988	0.0296789989534263	0.021359025466856	0.015945264901597	0.0132166614225245	0.0352622193153964	0.025216483710777	0.138088739539356	0.0238907099226863	0.0126120578137014	0.0358583161059825	0.114729007699127	0.0366456635494982	0.224344330748719	0.0186722927163437	0.0213466850120228	0.0242490915053712	0.0122053650238111	0.0181426047078731	0.0204201185702729	0.0154498304045327	0.0293936477327826	0.0276263449460645	0.00693558373852381	0.0140684561538333	0.0324590732462706	0.0210005929227416	0.119179719855272	0.0268682022595169	0.00772409075272397	0.016687415840802	0.022667260797084	0.0209920308040211	0.0160807623253261	0.0188466654863898	0.0215750795844206	0.0208532515034827	0.0168943439509438	0.0204849520127413	0.0187094365382276	0.151554573406408	2.28724004823669	0.182207239440484	3.13568357909577	0.214576027896173	3.9168558609582	0.0176699151157843	0.0247647883103888	0.273051711072992	5.21794768382997	0.0238133545803876	0.0130949823106927	0.018237907899471	0.0405475347019506	0.388196714896857	10.0358112721458	0.364884196306486	10.4576821666869	0.0552968009301438	0.464065569544473	0.125209984758603	1.74546749335123	
