X_Zr50.7Cu28Ni9Al12.3_Pd_[¦Ìm]	Y_Zr50.7Cu28Ni9Al12.3_Fn_[mN]	X_Zr50.7Cu28Ni9Al12.3_Pd_[¦Ìm]	Y_Zr50.7Cu28Ni9Al12.3_Fn_[mN]	X_Zr50.7Cu28Ni9Al12.3_Pd_[¦Ìm]	Y_Zr50.7Cu28Ni9Al12.3_Fn_[mN]	X_Zr50.7Cu28Ni9Al12.3_Pd_[¦Ìm]	Y_Zr50.7Cu28Ni9Al12.3_Fn_[mN]	X_Zr50.7Cu28Ni9Al12.3_Pd_[¦Ìm]	Y_Zr50.7Cu28Ni9Al12.3_Fn_[mN]	X_Zr50.7Cu28Ni9Al12.3_Pd_[¦Ìm]	Y_Zr50.7Cu28Ni9Al12.3_Fn_[mN]	X_Zr50.7Cu28Ni9Al12.3_Pd_[¦Ìm]	Y_Zr50.7Cu28Ni9Al12.3_Fn_[mN]	X_Zr50.7Cu28Ni9Al12.3_Pd_[¦Ìm]	Y_Zr50.7Cu28Ni9Al12.3_Fn_[mN]	X_Zr50.7Cu28Ni9Al12.3_Pd_[¦Ìm]	Y_Zr50.7Cu28Ni9Al12.3_Fn_[mN]	X_Zr50.7Cu28Ni9Al12.3_Pd_[¦Ìm]	Y_Zr50.7Cu28Ni9Al12.3_Fn_[mN]	X_Zr50.7Cu28Ni9Al12.3_Pd_[¦Ìm]	Y_Zr50.7Cu28Ni9Al12.3_Fn_[mN]	X_Zr50.7Cu28Ni9Al12.3_Pd_[¦Ìm]	Y_Zr50.7Cu28Ni9Al12.3_Fn_[mN]	X_Zr50.7Cu28Ni9Al12.3_Pd_[¦Ìm]	Y_Zr50.7Cu28Ni9Al12.3_Fn_[mN]	X_Zr50.7Cu28Ni9Al12.3_Pd_[¦Ìm]	Y_Zr50.7Cu28Ni9Al12.3_Fn_[mN]	X_Zr50.7Cu28Ni9Al12.3_Pd_[¦Ìm]	Y_Zr50.7Cu28Ni9Al12.3_Fn_[mN]	X_Zr50.7Cu28Ni9Al12.3_Pd_[¦Ìm]	Y_Zr50.7Cu28Ni9Al12.3_Fn_[mN]	X_Zr50.7Cu28Ni9Al12.3_Pd_[¦Ìm]	Y_Zr50.7Cu28Ni9Al12.3_Fn_[mN]	X_Zr50.7Cu28Ni9Al12.3_Pd_[¦Ìm]	Y_Zr50.7Cu28Ni9Al12.3_Fn_[mN]	X_Zr50.7Cu28Ni9Al12.3_Pd_[¦Ìm]	Y_Zr50.7Cu28Ni9Al12.3_Fn_[mN]	X_Zr50.7Cu28Ni9Al12.3_Pd_[¦Ìm]	Y_Zr50.7Cu28Ni9Al12.3_Fn_[mN]	X_Zr50.7Cu28Ni9Al12.3_Pd_[¦Ìm]	Y_Zr50.7Cu28Ni9Al12.3_Fn_[mN]	X_Zr50.7Cu28Ni9Al12.3_Pd_[¦Ìm]	Y_Zr50.7Cu28Ni9Al12.3_Fn_[mN]	X_Zr50.7Cu28Ni9Al12.3_Pd_[¦Ìm]	Y_Zr50.7Cu28Ni9Al12.3_Fn_[mN]	X_Zr50.7Cu28Ni9Al12.3_Pd_[¦Ìm]	Y_Zr50.7Cu28Ni9Al12.3_Fn_[mN]	X_Zr50.7Cu28Ni9Al12.3_Pd_[¦Ìm]	Y_Zr50.7Cu28Ni9Al12.3_Fn_[mN]	X_Zr50.7Cu28Ni9Al12.3_Pd_[¦Ìm]	Y_Zr50.7Cu28Ni9Al12.3_Fn_[mN]	X_Zr50.7Cu28Ni9Al12.3_Pd_[¦Ìm]	Y_Zr50.7Cu28Ni9Al12.3_Fn_[mN]	X_Zr50.7Cu28Ni9Al12.3_Pd_[¦Ìm]	Y_Zr50.7Cu28Ni9Al12.3_Fn_[mN]	X_Zr50.7Cu28Ni9Al12.3_Pd_[¦Ìm]	Y_Zr50.7Cu28Ni9Al12.3_Fn_[mN]	X_Zr50.7Cu28Ni9Al12.3_Pd_[¦Ìm]	Y_Zr50.7Cu28Ni9Al12.3_Fn_[mN]	X_Zr50.7Cu28Ni9Al12.3_Pd_[¦Ìm]	Y_Zr50.7Cu28Ni9Al12.3_Fn_[mN]	X_Zr50.7Cu28Ni9Al12.3_Pd_[¦Ìm]	Y_Zr50.7Cu28Ni9Al12.3_Fn_[mN]	X_Zr50.7Cu28Ni9Al12.3_Pd_[¦Ìm]	Y_Zr50.7Cu28Ni9Al12.3_Fn_[mN]	X_Zr50.7Cu28Ni9Al12.3_Pd_[¦Ìm]	Y_Zr50.7Cu28Ni9Al12.3_Fn_[mN]	X_Zr50.7Cu28Ni9Al12.3_Pd_[¦Ìm]	Y_Zr50.7Cu28Ni9Al12.3_Fn_[mN]	X_Zr50.7Cu28Ni9Al12.3_Pd_[¦Ìm]	Y_Zr50.7Cu28Ni9Al12.3_Fn_[mN]	X_Zr50.7Cu28Ni9Al12.3_Pd_[¦Ìm]	Y_Zr50.7Cu28Ni9Al12.3_Fn_[mN]	X_Zr50.7Cu28Ni9Al12.3_Pd_[¦Ìm]	Y_Zr50.7Cu28Ni9Al12.3_Fn_[mN]	X_Zr50.7Cu28Ni9Al12.3_Pd_[¦Ìm]	Y_Zr50.7Cu28Ni9Al12.3_Fn_[mN]	X_Zr50.7Cu28Ni9Al12.3_Pd_[¦Ìm]	Y_Zr50.7Cu28Ni9Al12.3_Fn_[mN]	X_Zr50.7Cu28Ni9Al12.3_Pd_[¦Ìm]	Y_Zr50.7Cu28Ni9Al12.3_Fn_[mN]	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.0010505701029724	0.00351027557979193	0.000717443727977916	0.00374967185432719	0.000978914897552868	0.0038352502994784	0.00117552602137737	0.00450630956462418	0.00159084795615148	0.00313028598295563	0.00134166919207981	0.0029024375621003	0.00200862953972613	0.00216887873351195	0.00112942545866218	0.00394337443509468	0.00131302178136014	0.00288571297851061	0.00126403822332941	0.00386788978903798	0.00168461980563126	0.0021913364303688	0.00106023425591071	0.00236569019439612	0.00151472840589219	0.00262397394450598	0.00125248602300662	0.00342931827700093	0.00191732057166344	0.00349011844967395	0.000780815942891173	0.00440007876951339	0.00101772744821526	0.00451872962368167	-0.000213311885998977	0.0049012521631421	0.00193811053948318	0.00250048548824875	0.000776061644818771	0.00419458754635512	0.000605677752605366	0.00500467625773653	0.00264441188550202	0.00171340244425598	0.00152072380752317	0.0108820599340973	0.00957713290193766	0.116697623439525	0.0111144004945005	0.148588246011175	0.000951138635387068	0.00420198719489728	0.00108015010754964	0.00329600864267308	0.00410341245787196	2.73212195435705E-6	0.00185968549518251	0.00231174624720676	0.000742580596902915	0.00476576292486497	0.000694391656290186	0.00462297590144745	0.00128500055976709	0.00342830737368793	0.0224898439835433	0.356113499403663	0.000997374298790003	0.00341391553021065	0.00153620681618076	0.0038448632032722	0.000935497859056723	0.0037219140773475	0.00100870009882332	0.00384275317566431	0.00130315802563289	0.00375258951319189	0.000510179081001936	0.0050219530182708	0.0282757149793697	0.464048498329731	0.000716309506588926	0.00599693856821967	
0.00245603670255955	0.0073586676223394	0.00227123224876437	0.0068552195825696	0.0013281015842268	0.00897552038737779	0.00336242304140161	0.00888374191713907	0.00189494317169075	0.00898538885917065	0.00243840751498841	0.006299076104403	0.00340166534943936	0.00526964774944455	-9.97673670013879E-5	0.0108719154306756	0.00257511196519186	0.00577036696417813	0.00178815741815331	0.00818664700314962	0.00378817296378553	0.00554599656458402	0.00303094086540011	0.00404983237649645	0.00232813567477445	0.00625514955875685	0.00241268093058259	0.00663266623961648	0.00287664922491378	0.00764645037695279	0.00257406230688167	0.00717200293861362	0.00243184812010439	0.00822839553646215	0.000700404030734372	0.0081638605239737	0.00312939536400254	0.00630660012633972	0.00132719030232048	0.0089933924121661	0.00150428600424095	0.00927730935973322	0.00386703136457739	0.00594864440184937	0.00921197503797073	0.10983381640839	0.0299519855349161	0.41103439665143	0.0345057919206032	0.518235993636739	0.00251532870931689	0.00788389442120342	0.00146784027607714	0.00766297271166778	0.00438382024564293	0.00398975297834035	0.00270236405039513	0.00654210058050497	0.0011256863595125	0.00950205094683487	0.00157399255072631	0.0102490298238578	0.00148051866062742	0.00820838574447886	0.0663717660581857	1.27985585018979	0.00188829014953855	0.00730350768079153	0.0029025373704345	0.00797098581071917	0.00195529872200297	0.00797012724776148	0.0027583006096836	0.00651575070125676	0.00279799695468463	0.00745623366183795	0.000789317647811577	0.0103324996056431	0.0824223399950388	1.67509829090674	0.00226252137205688	0.00983572634717259	
0.0046548749578583	0.0105580588284428	0.00439538459703751	0.00885428702312648	0.00250053443571703	0.012581214235032	0.00495950308236461	0.0133578089866221	0.00258004221436274	0.013311293791804	0.00375510450281861	0.00881251256921618	0.0042777528996452	0.00964935588496886	0.0011134226196858	0.0139051374151842	0.00419510224278126	0.00851574389368924	0.00291755481819851	0.0124106075889981	0.00435159011891888	0.0102416101664332	0.00448122291252739	0.00766989078278823	0.00382094470350631	0.00979416607925438	0.00414950465001908	0.0097443194055019	0.00342455051646968	0.0128866000313885	0.0043988044936642	0.0110351087857475	0.00394674207786148	0.0114705875611981	0.00336048001346669	0.0101241271034065	0.00350861406143221	0.0112600150126986	0.00322977586979564	0.0120406633606657	0.00366318624378799	0.011679188346594	0.00432288928239934	0.0107591435499803	0.0259378100002746	0.355397563398326	0.0505344729594866	0.775430751222215	0.0574367345556267	0.972182967624318	0.00384009729991288	0.0115358265225523	0.00310738877580034	0.0103674896841478	0.00393892145741255	0.0100960055285634	0.00338846764588258	0.0121911610797986	0.00262303391797555	0.0131305053530673	0.00366294303398734	0.0141112862029806	0.00224269686642354	0.0125394211364812	0.105168127457766	2.41626607913797	0.00351865339849037	0.0109110618997699	0.00367874821440211	0.0129473185769159	0.00404085064583564	0.011711926516324	0.00475363758631235	0.00973352825137792	0.00478876588356768	0.0108797534556431	0.0026191719684483	0.0130964757009221	0.128362222630919	3.16498686398675	0.00410865218890474	0.0135437870018807	
0.00603129132271081	0.0138704929446498	0.00536674781695303	0.0131730005814945	0.00476214879172372	0.0155709441849676	0.0055558852250443	0.0180953773496976	0.00473739388465346	0.0152827080472669	0.005397637571577	0.0112299170846462	0.00512653415613637	0.014243589936216	0.003662830611346	0.0152355125504442	0.00590921803814287	0.0113329618062811	0.00389040530778767	0.0200465182871	0.00469662486631648	0.0159740112992706	0.00503761110337002	0.0121693077421424	0.00539169466915113	0.0138155221779909	0.00567600768366921	0.0128563272743042	0.00445371897579756	0.0212295298218205	0.00516185284335179	0.0157596522758176	0.00469009459384065	0.017612106676302	0.00488484281553798	0.0141748198618499	0.0048196287796679	0.0160264650394619	0.00491720586199366	0.0156887119198224	0.0052157731721845	0.0154319761296215	0.00572446507382854	0.0148620922335268	0.0434615070162215	0.657726480904687	0.0681352596486792	1.15496674305452	0.0767127677302548	1.44764349206368	0.00462392733808564	0.0153535303963301	0.00516513901813841	0.0124564824995765	0.00615328526934293	0.0126539301519744	0.00430094568247597	0.0187376235966861	0.00465844915061903	0.0180171292041209	0.00538748455922673	0.017263096286526	0.00439375949952269	0.0160103146880622	0.136822094928353	3.59719748315907	0.00528244514338899	0.0149171348502637	0.0043929156055783	0.0176280437512042	0.00576414177920089	0.0159989714706805	0.00570725808486275	0.0141279881628906	0.00626124515671266	0.0153537541320161	0.00483145566158009	0.0159919574478736	0.164142709154841	4.71512152740387	0.00504305834144828	0.0190878190580022	
0.00656923422009181	0.0186501669313781	0.00590870915782814	0.0186955012610689	0.00598443957841117	0.020819373196654	0.00636693935736243	0.0225205509526738	0.00630159747809694	0.0188294201431312	0.00652065628508457	0.015576113752607	0.00614328360800627	0.019447335930074	0.00462938768471368	0.019867219600614	0.00691787346558728	0.0156224287449134	0.00595457995603465	0.037472237675547	0.00572543439206256	0.0210850668271209	0.00574493773635925	0.01704551196764	0.00609920508878236	0.0191275967163896	0.00656593011863547	0.017585130155234	0.00907016684477904	0.0590818043879261	0.00587618342000051	0.0210822594444836	0.00573887954779044	0.0230577150394619	0.00490928153885986	0.0198986299081425	0.00579455012244436	0.0211437381001719	0.005466729989029	0.0206166641176563	0.00571204603341336	0.0208181844871352	0.0081621100502486	0.0174178704495436	0.058403195281859	0.973230672729188	0.0838193209495299	1.54552441316494	0.0933544175210618	1.93706617104786	0.00514905111164505	0.0209951839711243	0.00608348187239777	0.0171981874717329	0.00806131488930791	0.0158303584369381	0.00534067534681089	0.0237866577279106	0.00577225350934332	0.0235574032283131	0.00601254373783643	0.0217211371506304	0.00610324853998198	0.0196203463704906	0.16380289815109	4.81403951979846	0.00638423147620123	0.0201296197235486	0.005242814705821	0.0224125240761426	0.00633864442567679	0.0212527728673151	0.00627316002482045	0.0189868578749432	0.00712940942736487	0.0216592078403387	0.00565757813572129	0.0220740756478367	0.195252976063345	6.30810028684734	0.00582732565175709	0.0253540117009034	
0.00717276412204212	0.0246697188337281	0.00667210572463783	0.0244853469860366	0.00671210455511575	0.0269484486058393	0.00723929265674159	0.0278629791363381	0.00667235349041315	0.0242814260054063	0.00709090408778	0.0201773545507038	0.0069296455961231	0.0252303813634795	0.0053878563282749	0.0249140891345511	0.00757214937385039	0.0212252150654734	0.00947156322945986	0.0673582858164817	0.00672719053551737	0.0261552708107657	0.00681971024551193	0.0218215590033568	0.00658602466487745	0.0235497125414802	0.00750087968244194	0.0222425231535512	0.0172846124518343	0.146589396849336	0.00729732780629936	0.0295880940528072	0.00651598684394406	0.0281644729776768	0.00554497215940548	0.0249078791050223	0.00657063444014518	0.027385333460032	0.00630631288006309	0.0262450822714316	0.00651771190778951	0.0268299919287806	0.00924011301687887	0.0217216573815751	0.0718873915960025	1.29809669325204	0.0971187703732575	1.94434466034958	0.108247210611961	2.43229389977922	0.00663331030171394	0.0259043269099242	0.00654759177973213	0.0236170515260011	0.00833846417437463	0.0228438282711103	0.0061011650345788	0.0290867160228803	0.00630341611746405	0.027927867032754	0.00641579957098235	0.0273192914148943	0.00669789581603274	0.0257904236178737	0.18754734344553	6.04828168810358	0.00722562777812088	0.0258138230964495	0.00627075266654406	0.0271442828147128	0.00707893749023962	0.0261564915799712	0.00705018447510084	0.0249220744976534	0.007827983911643	0.0276549022198655	0.00628586753720163	0.0283359390961631	0.222719169356504	7.92337351068431	0.00665433426841597	0.0316696517494021	
0.00831999104180589	0.0302236862094998	0.00750825446203057	0.0303492501325679	0.00745728313127874	0.033019259968207	0.00815202655120316	0.0341245997495906	0.00722142138120861	0.0292242670855484	0.00799699952373716	0.0246114575153945	0.00747637016558168	0.0308690681666974	0.00650652441238376	0.0295655813315235	0.00827307255453364	0.0264713130423499	0.0127728440510735	0.103313876574735	0.00729112688186282	0.0324801824751875	0.00793862383589294	0.0262917252502493	0.00712621268407506	0.028615535944102	0.00834475293807536	0.0258945571183018	0.0255001088544905	0.250873873390777	0.0119437692250931	0.0721855960638817	0.00687376575655252	0.0337844805795969	0.00669930622476256	0.0298762301460954	0.00785233848997181	0.0319464255259207	0.00727279854465213	0.0315908770632614	0.00744623957978504	0.0320416737182819	0.00975849928022899	0.0265263102980407	0.0843475648337111	1.62910432020149	0.108415075522817	2.34298679210029	0.122033375049611	2.93207882248236	0.00754679434131476	0.0314857064547054	0.00732647613940669	0.0291430683119255	0.00899793753500639	0.0287680363704731	0.00652400865698527	0.0343483390735786	0.0070087872985965	0.0318949590421813	0.00727025819518628	0.0319832673355503	0.00733156469606018	0.0328271837912627	0.20938902853368	7.2857704467496	0.0078079834093264	0.0298448271145241	0.00726661102538276	0.0298014405813315	0.00793938950846626	0.0300036830895694	0.00786587663405853	0.0284417169629339	0.0084708037221181	0.0295843551202658	0.00679102030954835	0.0313250333093324	0.246662802555938	9.54633899296095	0.00732889872115344	0.0344758283968389	
0.00976843227442302	0.036335732240698	0.00824425871670697	0.0372138059051815	0.00861783045736273	0.0395196329337766	0.0101111270280044	0.045004440516721	0.00801765198622265	0.0340918242905796	0.00906891492535212	0.0306737387273594	0.0083800795116224	0.0364267026249326	0.00711801019289309	0.0356071342507248	0.00929827577473043	0.0312656359184834	0.0162634266812956	0.140274102408808	0.0078924274156248	0.0403297853097841	0.00838053678482839	0.0318539708464034	0.0079540542087101	0.0334233066082572	0.00912502499258265	0.0311860461545984	0.0333576410535327	0.360486198745974	0.0210011200840014	0.170751523076135	0.00739825226681893	0.0389775568368678	0.00743127619478629	0.0361563707990806	0.00938753625178516	0.0413343585399657	0.00852298041791583	0.0421455350069587	0.00872697335705146	0.044031754169269	0.0104422044330454	0.0311486932089707	0.0950526449183095	1.9623431631031	0.119143307119537	2.74257002526794	0.13453097835977	3.432208800183	0.00798892011182901	0.0371934730152207	0.0080684937041552	0.032717942568832	0.0107005377431643	0.0307805515990517	0.00885668358433909	0.0566018543795733	0.00966142412576218	0.0536770978185516	0.00992040328152787	0.0559454466186298	0.00827889773475827	0.0364316129865942	0.2290778585682	8.52861756957416	0.0108529064022637	0.0577824293781036	0.0101721299704516	0.0602526241467485	0.0109535142960574	0.0635163493670208	0.0107961593453102	0.0613662821662795	0.0120520335219945	0.0604726418185935	0.00950242423632001	0.0657026799387888	0.269225865152306	11.1734283714021	0.0103300966844378	0.0676537424322768	
0.0109539842650976	0.0451742395314982	0.00953533183757291	0.0435811313982585	0.0104301939486426	0.0489353819324593	0.0119950235444999	0.057590753378809	0.00912810061480412	0.0413570849924941	0.00978932746177475	0.0365676406457092	0.00985233229966493	0.0431655541849269	0.00833280846297987	0.0430211528084904	0.0107637417139303	0.0376608731205111	0.0198380454325539	0.178155719091588	0.0102152815032964	0.0607472801016538	0.00937700696220378	0.0397616267250567	0.00895213428520764	0.0411481285946867	0.0104601759419764	0.0401537544376063	0.0401467481004486	0.474608482558366	0.0310151047010764	0.291327784712574	0.00902516897357837	0.0474919547921492	0.00827205521246467	0.0411922063438198	0.014684457452158	0.104758545175255	0.0147797943450137	0.115454002271263	0.015587465238703	0.126426720632927	0.0117892364457229	0.0418138168391263	0.104991733845334	2.29527443673904	0.129327915745466	3.14415210941643	0.146142613533303	3.93126798980435	0.0104130277870685	0.0546142138299067	0.00996617778328158	0.0506740446813626	0.0128411834611899	0.0497448612824195	0.0252129125241544	0.298856117653975	0.0275583946441597	0.318093228441193	0.0293565604183224	0.342156889138276	0.0107640446056404	0.0619167956451358	0.247461982352248	9.77409940383717	0.0348976220480043	0.438002375745567	0.0337163761434552	0.46568379155372	0.0359707305666424	0.49352437620308	0.0365151421704713	0.497281615052966	0.0393615260987841	0.502900305706621	0.0357700232469354	0.52472032675451	0.290791101882848	12.8016195043967	0.0381245295600299	0.537843767153069	
