X_Zr54.8Cu24.8Ni8.64Al11.76_Pd_[¦Ìm]	Y_Zr54.8Cu24.8Ni8.64Al11.76_Fn_[mN]	X_Zr54.8Cu24.8Ni8.64Al11.76_Pd_[¦Ìm]	Y_Zr54.8Cu24.8Ni8.64Al11.76_Fn_[mN]	X_Zr54.8Cu24.8Ni8.64Al11.76_Pd_[¦Ìm]	Y_Zr54.8Cu24.8Ni8.64Al11.76_Fn_[mN]	X_Zr54.8Cu24.8Ni8.64Al11.76_Pd_[¦Ìm]	Y_Zr54.8Cu24.8Ni8.64Al11.76_Fn_[mN]	X_Zr54.8Cu24.8Ni8.64Al11.76_Pd_[¦Ìm]	Y_Zr54.8Cu24.8Ni8.64Al11.76_Fn_[mN]	X_Zr54.8Cu24.8Ni8.64Al11.76_Pd_[¦Ìm]	Y_Zr54.8Cu24.8Ni8.64Al11.76_Fn_[mN]	X_Zr54.8Cu24.8Ni8.64Al11.76_Pd_[¦Ìm]	Y_Zr54.8Cu24.8Ni8.64Al11.76_Fn_[mN]	X_Zr54.8Cu24.8Ni8.64Al11.76_Pd_[¦Ìm]	Y_Zr54.8Cu24.8Ni8.64Al11.76_Fn_[mN]	X_Zr54.8Cu24.8Ni8.64Al11.76_Pd_[¦Ìm]	Y_Zr54.8Cu24.8Ni8.64Al11.76_Fn_[mN]	X_Zr54.8Cu24.8Ni8.64Al11.76_Pd_[¦Ìm]	Y_Zr54.8Cu24.8Ni8.64Al11.76_Fn_[mN]	X_Zr54.8Cu24.8Ni8.64Al11.76_Pd_[¦Ìm]	Y_Zr54.8Cu24.8Ni8.64Al11.76_Fn_[mN]	X_Zr54.8Cu24.8Ni8.64Al11.76_Pd_[¦Ìm]	Y_Zr54.8Cu24.8Ni8.64Al11.76_Fn_[mN]	X_Zr54.8Cu24.8Ni8.64Al11.76_Pd_[¦Ìm]	Y_Zr54.8Cu24.8Ni8.64Al11.76_Fn_[mN]	X_Zr54.8Cu24.8Ni8.64Al11.76_Pd_[¦Ìm]	Y_Zr54.8Cu24.8Ni8.64Al11.76_Fn_[mN]	X_Zr54.8Cu24.8Ni8.64Al11.76_Pd_[¦Ìm]	Y_Zr54.8Cu24.8Ni8.64Al11.76_Fn_[mN]	X_Zr54.8Cu24.8Ni8.64Al11.76_Pd_[¦Ìm]	Y_Zr54.8Cu24.8Ni8.64Al11.76_Fn_[mN]	X_Zr54.8Cu24.8Ni8.64Al11.76_Pd_[¦Ìm]	Y_Zr54.8Cu24.8Ni8.64Al11.76_Fn_[mN]	X_Zr54.8Cu24.8Ni8.64Al11.76_Pd_[¦Ìm]	Y_Zr54.8Cu24.8Ni8.64Al11.76_Fn_[mN]	X_Zr54.8Cu24.8Ni8.64Al11.76_Pd_[¦Ìm]	Y_Zr54.8Cu24.8Ni8.64Al11.76_Fn_[mN]	X_Zr54.8Cu24.8Ni8.64Al11.76_Pd_[¦Ìm]	Y_Zr54.8Cu24.8Ni8.64Al11.76_Fn_[mN]	X_Zr54.8Cu24.8Ni8.64Al11.76_Pd_[¦Ìm]	Y_Zr54.8Cu24.8Ni8.64Al11.76_Fn_[mN]	X_Zr54.8Cu24.8Ni8.64Al11.76_Pd_[¦Ìm]	Y_Zr54.8Cu24.8Ni8.64Al11.76_Fn_[mN]	X_Zr54.8Cu24.8Ni8.64Al11.76_Pd_[¦Ìm]	Y_Zr54.8Cu24.8Ni8.64Al11.76_Fn_[mN]	X_Zr54.8Cu24.8Ni8.64Al11.76_Pd_[¦Ìm]	Y_Zr54.8Cu24.8Ni8.64Al11.76_Fn_[mN]	X_Zr54.8Cu24.8Ni8.64Al11.76_Pd_[¦Ìm]	Y_Zr54.8Cu24.8Ni8.64Al11.76_Fn_[mN]	X_Zr54.8Cu24.8Ni8.64Al11.76_Pd_[¦Ìm]	Y_Zr54.8Cu24.8Ni8.64Al11.76_Fn_[mN]	X_Zr54.8Cu24.8Ni8.64Al11.76_Pd_[¦Ìm]	Y_Zr54.8Cu24.8Ni8.64Al11.76_Fn_[mN]	X_Zr54.8Cu24.8Ni8.64Al11.76_Pd_[¦Ìm]	Y_Zr54.8Cu24.8Ni8.64Al11.76_Fn_[mN]	X_Zr54.8Cu24.8Ni8.64Al11.76_Pd_[¦Ìm]	Y_Zr54.8Cu24.8Ni8.64Al11.76_Fn_[mN]	X_Zr54.8Cu24.8Ni8.64Al11.76_Pd_[¦Ìm]	Y_Zr54.8Cu24.8Ni8.64Al11.76_Fn_[mN]	X_Zr54.8Cu24.8Ni8.64Al11.76_Pd_[¦Ìm]	Y_Zr54.8Cu24.8Ni8.64Al11.76_Fn_[mN]	X_Zr54.8Cu24.8Ni8.64Al11.76_Pd_[¦Ìm]	Y_Zr54.8Cu24.8Ni8.64Al11.76_Fn_[mN]	X_Zr54.8Cu24.8Ni8.64Al11.76_Pd_[¦Ìm]	Y_Zr54.8Cu24.8Ni8.64Al11.76_Fn_[mN]	X_Zr54.8Cu24.8Ni8.64Al11.76_Pd_[¦Ìm]	Y_Zr54.8Cu24.8Ni8.64Al11.76_Fn_[mN]	X_Zr54.8Cu24.8Ni8.64Al11.76_Pd_[¦Ìm]	Y_Zr54.8Cu24.8Ni8.64Al11.76_Fn_[mN]	X_Zr54.8Cu24.8Ni8.64Al11.76_Pd_[¦Ìm]	Y_Zr54.8Cu24.8Ni8.64Al11.76_Fn_[mN]	
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
0.00353864275186749	-0.000262320087404619	0.00136902250109949	0.00221775862865322	0.00144467287855747	0.00286832514594115	0.000385456025255711	0.00397102921180428	0.000884130969802708	0.00352629882931303	0.00196886487954118	0.00191154756537011	0.000603691170496435	0.00326999823230618	0.00181875004899058	0.00239359133047136	0.00213420635902476	0.00264024571344254	0.00210030548910415	0.00286216763972894	0.00136489872601134	0.00252824781270173	0.00119702260619232	0.00327171694983722	0.000803092186491748	0.00446384525901535	0.000910028783183862	0.00375415566299396	0.00162995074199075	0.00318515033873947	0.00103237899926317	0.00352237185875097	0.00253693815106179	0.000973259329086891	0.00149931779515968	0.00211598161467462	0.000416634583554784	0.00368738238415075	0.00118922170086008	0.00169998376006338	0.0013759482444151	0.00344616496380125	0.000994832273460572	0.00382306443529549	0.000978983372727759	0.00315049859224779	0.00200437821341346	0.00375488007548951	0.00117439537989775	0.00217030394006365	0.0010279905846345	0.00306865134893337	0.000197636144133235	0.00406327652653949	-0.000152765933516244	0.00425570558741131	0.000800983647429975	0.00281186837869699	0.00120206175500519	0.0029024375621003	0.00120799718583811	0.00266528501088774	0.0225028935700744	0.284734794267943	0.001234935942396	0.0038523938190452	0.00168591296253587	0.00290218790581652	0.000687120093336048	0.00457902911954514	0.00125021580449013	0.00339413584037598	
0.00418167417410846	0.00409848852174085	0.00316068991388959	0.00486303748553631	0.00266267135083079	0.00556516325501881	0.00302648058531689	0.00545163467476762	0.00145307186287391	0.00755421534039547	0.00261448155130294	0.00543096538547003	0.00177716608000064	0.00668692737306802	0.00296308842056904	0.00500072609506067	0.00432329129304966	0.00446530067784273	0.003136930012737	0.0071302941956924	0.00271596022733629	0.00473080013120006	0.00303900784820002	0.00523452767004712	0.00256540997853541	0.00729328950830245	0.00210801338948269	0.00650081861795229	0.00293978007735189	0.00616300865489669	0.00253448139385597	0.00735093691774152	0.00389212571589999	0.00511617484590978	0.00287416983403295	0.00515551822059771	0.00165730553471062	0.00703310764284014	0.0028876075637641	0.00265495315156634	0.00254185662666738	0.00635818518899795	0.00194623041915578	0.0077036853305642	0.00175401424336203	0.00628414424847219	0.00259247758307275	0.00719191859789975	0.00271828748998345	0.00419554129361318	0.0021773848219813	0.00627620549697116	0.00273350341920581	0.00437661198833286	0.000543556592219611	0.00775988118652819	0.0027743730600563	0.00495282028290959	0.00263012375007181	0.00589681412024654	0.0038635614978551	0.00426752356100483	0.0638768128046649	1.02956388785247	0.00250140057081416	0.00619360041723249	0.00260228867333841	0.00685169665500961	0.00149609615413381	0.00932128706445392	0.0025174416468683	0.00721814978809502	
0.00514213513876134	0.00830039022414023	0.00503739236625965	0.0075354688507038	0.00425127374591342	0.00841369234022143	0.00534598243323762	0.00709558264992692	0.0032060525992953	0.0105310086383075	0.00407869013417805	0.00848360871891784	0.00332869894214401	0.00961169393853097	0.00359935165354756	0.00883132455673413	0.00489361432470374	0.00717738362270058	0.0038538022083314	0.0109109479855639	0.00371398407032683	0.00847048391518679	0.00421160017186307	0.007245499884094	0.00408310769255188	0.0097827601067412	0.00342877861813244	0.00925910855262583	0.0041495675900543	0.00911491908844479	0.00395681688439305	0.0107669397381936	0.00442643455651272	0.00985662835341594	0.00366672852734665	0.0103624042447644	0.00368908325602081	0.00964132004491303	0.00410852097138365	0.00576101565378551	0.00377855977175452	0.00845470952969436	0.00304216756379215	0.0100171596176223	0.00310657034752846	0.00945682541544261	0.00371585704556507	0.0102043622674386	0.00423396015933495	0.00647182770832412	0.00375465181310866	0.00765506783884279	0.00452612574059094	0.0065677519678554	0.00308630879713362	0.00970975769898142	0.00397956654384091	0.008370284661278	0.00377301083868818	0.00937435789677105	0.00512876855339268	0.00781577509026553	0.0996926606464054	1.94414205404348	0.00374211703599592	0.00908418544494225	0.00331421039221424	0.0112517772435123	0.00263399983204694	0.0126107291556921	0.00378151683370003	0.0107164045769846	
0.00750148598564174	0.00935828166918609	0.00627834515409042	0.0103365641514831	0.00509081359101974	0.012198833121991	0.00584281596475632	0.0114225616957521	0.00477063698829098	0.0148172386854499	0.00535156862511203	0.0126245560892996	0.00414275576086571	0.0135685814178891	0.00427125882678392	0.0131991917539248	0.00535221883923685	0.0118067567958896	0.00475764821595737	0.0151019666748788	0.00454555089673043	0.0124050251107837	0.00462320134326523	0.0112447950530184	0.00490850983806781	0.0139732176378517	0.00397405834293273	0.0134300847081497	0.00497409749895383	0.0129327957662078	0.00505223435394087	0.0137296913480719	0.00561843821067626	0.0132956568501391	0.00424400375551322	0.0151752298802319	0.00452600259645387	0.0146204031229573	0.00474535954013773	0.0106594665733792	0.00475507827158696	0.0135165693545941	0.0041801238366933	0.0127806518617428	0.00443794742305082	0.0129622743070815	0.005004667643629	0.0141858115595461	0.00496758081836682	0.00988749901797314	0.00485160378844305	0.0100520505612091	0.00483260220080472	0.0113477757689668	0.00489858302169716	0.0131969639467586	0.00500820937623889	0.0128745369489845	0.00467028451252876	0.0133503484019378	0.00526700117061883	0.0124690262499076	0.129213369519653	2.89581374888169	0.00440869542819191	0.0144439175034503	0.0040385573106867	0.0164553836299402	0.00379253271722242	0.0165181437636024	0.00468096187448663	0.0157160931660135	
0.00903970775423642	0.0112435149392865	0.00690540457503457	0.0152558124854344	0.00591653469960076	0.0177471334365452	0.00646347548237913	0.0166762139352626	0.00536212623925035	0.0207352522166931	0.00591017774249531	0.0176520752148808	0.0049228428912712	0.018435574736232	0.00554714901675385	0.0167817266843405	0.00642264735766514	0.0168217126170047	0.00554168876177097	0.0202251991993391	0.0053361843276364	0.0164009044451442	0.00560631347233749	0.0163087285257397	0.00546831063512072	0.018452623895728	0.0047521121229409	0.0181669511687225	0.00576815798339399	0.0167641911725758	0.00600072724413284	0.0171042894241924	0.00678082108515899	0.0173567032957758	0.00498409245661635	0.0198488464442688	0.00501844615383195	0.0196461250870932	0.00582189367427508	0.0160091578108565	0.00584204228126045	0.0191593961774979	0.00502789232517347	0.0184076189167904	0.00554532079347362	0.0168740654032889	0.00592592437030861	0.0193473701889188	0.00550473188422542	0.015764277880386	0.00538380566783935	0.0153984853530615	0.00561476134677448	0.0159582442998696	0.00508497454620066	0.0182933354559726	0.0060181881292999	0.0175731682541108	0.00584073569351891	0.0185828530716472	0.00632441527408099	0.0157513997486593	0.155410164722015	3.87642303172259	0.00498671553015463	0.0209029521177983	0.00518057762210753	0.0217794889636825	0.00481899452001812	0.0223690611453987	0.00559077933966581	0.0215834287453863	
0.0095001042132495	0.0161433373768253	0.00762424261841823	0.0209784874823931	0.00725206548013577	0.0229165305456328	0.00781505609835964	0.0205088298834624	0.00615927468285499	0.0255193705627575	0.00695081616920909	0.0227084325970962	0.00635176043545262	0.0231062754603935	0.00650658417678996	0.0221467274454056	0.0075404377675614	0.0211549999177817	0.00619798710404079	0.0249304079698362	0.00625314941237913	0.0212778840148383	0.00643978668385868	0.0216430493034872	0.00638178983102546	0.0240824403975408	0.0062072888789105	0.0228621298047511	0.00703241546898024	0.0207131951522334	0.00677200110273741	0.0214282671376442	0.00767124166583724	0.0216515226104738	0.00606754319684325	0.0242445796483035	0.00628879611961282	0.0240612196134197	0.00724807505548196	0.0196197788458236	0.00681518434475994	0.0238795679541178	0.00578782204723938	0.0224861240218931	0.00620627005992057	0.0216816359786192	0.00675900845724929	0.0240254632856651	0.00654370856570653	0.0215219302229241	0.00607368591725736	0.0207976631044065	0.00730030713151746	0.0202584732887967	0.00545962714088615	0.0234330425666783	0.00697370442790671	0.0211995217276819	0.00678297888334824	0.0230635621806219	0.00810342324263698	0.0199355990470242	0.178444227748977	4.86577068103542	0.00582449325605458	0.0263931275382177	0.00637527970849534	0.0255190363234704	0.00542888257135661	0.0261980118301244	0.00659111376577291	0.0272283856047805	
0.00974428027868832	0.0186497000195578	0.00881300914937246	0.0249564334010758	0.00828456087807562	0.0275486523253668	0.00881870854141066	0.0248059320297534	0.0070271499102717	0.0301677832108159	0.007989913839499	0.0272561969282582	0.00730955270344599	0.0278471709823037	0.00711980555240831	0.0290222233018934	0.0084231254730171	0.0266083899172404	0.00724290040615618	0.0304390097520383	0.00721371671733429	0.0266901193809965	0.00716089132974382	0.0274370668804537	0.00774102587943427	0.0286677818647638	0.00731228754767789	0.0277835697934559	0.008114322356863	0.0246312945033926	0.00763786202930506	0.0257560574527048	0.00859254837780018	0.0263132284324619	0.00718413749405559	0.0291703099506865	0.00713736282030103	0.0285272749444553	0.008486167343951	0.0237410265619006	0.00766253828846472	0.0291045092662465	0.00651878442664487	0.027473487139309	0.00672882476741815	0.0280028457724069	0.00720875911031247	0.0285177175198357	0.00780263106831655	0.0265248184141618	0.00701759948942392	0.0267644428297478	0.00826801436898685	0.0247572231338188	0.00682602942989577	0.0291155542795143	0.00777447088400808	0.0261833032551323	0.00763022657078784	0.0270773294559272	0.0092933469817265	0.0259838840456884	0.199188578795127	5.86025643674836	0.00690674045611809	0.0314555785346455	0.00924078523688287	0.0536529802939429	0.00837363923016837	0.0576285174160224	0.0076026125813433	0.0326425490996148	
0.0101444416673408	0.0188125113868731	0.010429454763028	0.0290423981813681	0.00904322245665609	0.0352136450246713	0.0098557610804361	0.0293413781652597	0.00772713717597479	0.0356780839290402	0.00883373199666905	0.0314592154900983	0.00804042681493527	0.0325803448945626	0.00813314685363701	0.0342014243086531	0.00939187453903352	0.0320575380336114	0.00827896198412538	0.0357891193570586	0.0081965162892738	0.0326058873699277	0.00825026460871354	0.0339983050475644	0.00903744852771056	0.0338357788068245	0.00816349058206376	0.033171129205285	0.00904969210049207	0.0296343627745728	0.00883021278011603	0.0302715929311456	0.00975303051858101	0.0311917177632892	0.00844963943178509	0.0343172129831308	0.00759860637140292	0.0340511234951138	0.00927121716676975	0.0290033044487531	0.00882967179521117	0.0334077050267499	0.00728246399864872	0.0327070177189932	0.00809841974590936	0.0335907773167085	0.00781411607958191	0.0390039635595322	0.00893633934338284	0.0308410272242401	0.00820507027036665	0.0311943366531586	0.00860897655826124	0.0302879438261174	0.00814208406132761	0.033505081091999	0.00858035128185805	0.0300498760959047	0.00892230870588665	0.0301757230991853	0.00982886988644443	0.0322261169613041	0.218525107086511	6.85853919441765	0.00788574124475724	0.0367056546411585	0.0330454264739492	0.435824731302536	0.0348279170783432	0.487037092684636	0.00850978601190746	0.0353916531382368	
0.0103540214351756	0.0194001258813367	0.0116946969279691	0.0345132923150257	0.00968581335295042	0.0394322395920342	0.0114589788992514	0.0338285592382247	0.00875532060786132	0.0425026044289043	0.00985973350783313	0.0373655756662812	0.00936832705827443	0.0390218007961498	0.00941641785242567	0.0390091840588724	0.010295524604028	0.0370711146060768	0.00900234658498633	0.0415209547842184	0.0098444845096986	0.0420626673106374	0.00964386107022589	0.040587502899469	0.00999552694783895	0.0391257580819878	0.00924553214728254	0.0402899285253614	0.0106693795205254	0.0354083150803819	0.0100396641668549	0.0365847627921515	0.0110483973276329	0.0378231598230953	0.0100573444442632	0.04168092921032	0.00937303924107937	0.0407853129854882	0.0101027178861861	0.0335989154749134	0.010166092225682	0.041049286424048	0.00852381027362739	0.0406681882633571	0.00976215512550449	0.0422638020543811	0.0122535371164606	0.103168462475997	0.0101050052877634	0.0402834771671093	0.0097642104309696	0.0410375099425956	0.00981031232257912	0.0336290779557703	0.0100889444699965	0.0462775547777719	0.0112046667191611	0.0440076086776995	0.0110401143874569	0.0478929846384169	0.010884883337503	0.0358725939136908	0.236554095412591	7.8582352340268	0.00832642829324095	0.0408844842830592	0.078557902301318	1.42948169727492	0.0854595420841847	1.6051672065912	0.0118429876216267	0.0704625093205013	
