Material,sigma_y_m,hp_hmax,Er,Er_O&P,E*,E*_O&P
Mg54Cu24.5Ag10.5Y11,1.04,0.717,56.5,58.8,62.08791209,64.61538462
Mg59.5Cu22.9Ag6.6Gd11,0.95,0.737,53.4,65.9,58.68131868,72.41758242
Mg61Cu28Gd11,1.08,0.751,53,67.9,58.24175824,74.61538462
Mg63Cu26Y11,0.64,0.705,55.3,57,60.76923077,62.63736264
Mg65Cu25Tb10,0.8,0.724,54,57,59.34065934,62.63736264
Mg65Zn30Ca5,0.79,0.732,51.2,47.6,56.26373626,52.30769231
Pd40Cu30Ni10P20,1.52,0.766,108,122.7,118.6813187,134.8351648
Fe-based,3.5,0.7,200.8,223,220.6593407,245.0549451
Vit1,1.74,0.718,102.6,107.6,112.7472527,118.2417582
Zr48Cu45Al7,1.9,0.703,95.5,104.3,104.9450549,114.6153846
Zr50.7Cu28Ni9Al12.3,1.9,0.682,119.2,125.7,130.989011,138.1318681
Zr54.8Cu24.8Ni8.64Al11.76,,0.714,84.22,103.7,92.54945055,113.956044
Zr55Al10Ni5Cu30,1.02,0.717,92.4,111,101.5384615,121.978022
Zr57Cu20Al10Ni8Ag5,1.79,0.722,92.4,100.7,101.5384615,110.6593407
ZT1,1.6,0.724,88.3,102.9,97.03296703,113.0769231
ZT2,1.5,0.726,96.3,103.7,105.8241758,113.956044
ZT3,,0.734,101.9,110.4,111.978022,121.3186813
Ti40Zr10Cu38Pd12,,0.728,105.2,115,115.6043956,126.3736264
Hf48Cu29.25Ni9.75Al13,2.5,0.714,118.8,138.5,130.5494505,152.1978022
Cu42Zr44.4Y3.6Al10,1.84,0.684,94.1,108.2,103.4065934,118.9010989
Cu43Zr45.1Y3.15Al8.75,1.83,0.704,93.1,98.6,102.3076923,108.3516484
Cu44Zr45.8Y2.7Al7.5,1.83,0.7,92.3,107.1,101.4285714,117.6923077
Cu45Zr46.5Y2.25Al6.25,1.83,0.695,91.5,100.1,100.5494505,110
Cu45.5Zr45.15Y2.475Al6.875,1.83,0.752,91,125.3,100,137.6923077
Cu46Zr46Al8,1.82,0.699,98.6,95.7,108.3516484,105.1648352
Cu46Zr47.2Y1.8Al5,1.8,0.679,90.2,85.7,99.12087912,94.17582418
Cu49Hf42Al9,,0.664,118,113.3,129.6703297,124.5054945
Ce68Al10Cu20Co2,0.58,0.777,35.4,31.8,38.9010989,34.94505495
La55Al25Cu10Ni5Co5,0.88,0.718,45.6,47.2,50.10989011,51.86813187
La62Al14Cu24,,0.745,38.73,40.7,42.56043956,44.72527473
